day,account_value
0,1000000.0
1,999732.0093310028
2,997877.3141318484
3,995007.811263627
4,992996.519196043
5,993410.9052217816
6,995484.3740519495
7,990039.207287387
8,995448.0872590172
9,986040.5491733621
10,986409.9965640572
11,980145.9834941966
12,982153.432655316
13,987287.3172685448
14,982093.5503442372
15,989805.4146875556
16,984822.5920592551
17,985963.6040521036
18,996396.5992381214
19,996025.045952488
20,996025.045952488
21,996025.045952488
22,996025.045952488
23,996025.045952488
24,996025.045952488
25,996025.045952488
26,996025.045952488
27,995006.8992876059
28,997274.5009759255
29,997135.0746710424
30,998096.8898168156
31,997360.3289991436
32,997235.1538411592
33,1000470.8827100872
34,997012.7042234498
35,997832.4509303855
36,1002117.6418242456
37,999259.3237682657
38,995837.0515684028
39,1005225.4551335744
40,1006593.4678827587
41,1006893.5834985385
42,1008680.215740615
43,1008585.0550953643
44,1006579.048526344
45,1009386.0195789435
46,1008765.9014353766
47,1016695.119490613
48,1016504.0818771278
49,1018011.7601425615
50,1021964.5192433582
51,1029656.607178706
52,1034340.9658823444
53,1034915.7880953806
54,1033112.516039292
55,1029495.4824128824
56,1030614.4460733477
57,1030382.2721779118
58,1037938.3052568162
59,1041862.9858821824
60,1039793.3020633193
61,1046251.5387439243
62,1045121.5859662695
63,1045121.5859662695
64,1045933.3747161295
65,1035831.1044070987
66,1037611.5596824738
67,1035527.8856779786
68,1044969.9217637158
69,1054558.8651146186
70,1055806.791442961
71,1053021.2339727005
72,1057170.6237782587
73,1060193.6769135476
74,1059022.0015486805
75,1052660.3351350809
76,1048184.4979377013
77,1046447.7225333748
78,1045772.4816342249
79,1042361.8389099615
80,1029208.255722216
81,1024915.5437461038
82,1030269.8877685205
83,1024564.0813497441
84,1019493.060645828
85,1017703.8817406471
86,1021275.3803763428
87,1017066.9988320529
88,1029153.221702065
89,1019072.0673711031
90,1018567.5386517128
91,1007613.965872352
92,1020706.0058085524
93,1010432.22814963
94,1009720.2455182788
95,1003400.2354278222
96,1008903.5835042704
97,1010468.854968541
98,1024875.6219479373
99,1034004.9112945305
100,1030567.1031054949
101,1033898.7507480236
102,1030771.9889354148
103,1029027.3929329494
104,1031750.3099597194
105,1032797.1062332891
106,1040789.6768204428
107,1041571.4642085831
108,1046722.9464229123
109,1045271.667347422
110,1038922.330349886
111,1028180.5811759584
112,1025601.3364854192
113,1022686.4027629384
114,1029139.2459053895
115,1025991.4666799372
116,1031334.8047842244
117,1035539.119448413
118,1033132.8537607223
119,1045185.1166230787
120,1011612.6072775716
121,994854.5406003841
122,1004732.7384681064
123,1019810.5978295072
124,1031623.0878904909
125,1032562.0933855164
126,1032562.0933855164
127,1026551.456890313
128,1026182.996395158
129,1041084.5183453716
130,1045728.6107977544
131,1055371.419666932
132,1056917.0301675824
133,1065044.4340897126
134,1066734.8474266229
135,1068211.9928034514
136,1066973.4539384812
137,1075387.0571503483
138,1070001.4673440985
139,1072921.5601246436
140,1068390.9974525059
141,1071118.338610123
142,1073337.810032717
143,1071855.9879146756
144,1071514.9275783435
145,1066931.8249650835
146,1063546.0377742592
147,1067114.673529776
148,1067448.0251414252
149,1077627.6722797758
150,1079797.2534694679
151,1079949.4675413598
152,1075112.227219478
153,1082953.2219307648
154,1078616.038028268
155,1083232.3706572638
