day,account_value
0,1000000.0
1,999932.282767706
2,996172.4589590564
3,987648.3566692672
4,981725.1695354391
5,981574.3281595368
6,984670.5055275277
7,964958.058644678
8,980085.3858672469
9,957355.0447495569
10,959453.4764757032
11,942052.8873873029
12,949753.8654579205
13,967860.0532345488
14,953374.6595906774
15,971477.1384391836
16,955803.0936549222
17,964094.5256399814
18,986307.2900986522
19,985321.0204169884
20,985321.0204169884
21,985321.0204169884
22,985321.0204169884
23,985321.0204169884
24,985321.0204169884
25,985321.0204169884
26,985321.0204169884
27,982422.0238875449
28,987211.865045346
29,986966.5514606813
30,988461.2658862416
31,986711.3130599958
32,985500.1505275384
33,991943.4795759668
34,984471.9569663956
35,986195.0618765295
36,998053.9998384208
37,998002.650479004
38,992976.3110324264
39,1015021.2925410912
40,1014076.2799717212
41,1014198.8774380322
42,1019146.888196169
43,1019832.0546361776
44,1011080.9889874612
45,1011920.656925085
46,1012656.7424747434
47,1025656.42859281
48,1027642.8986109195
49,1027729.3183922572
50,1030812.3716286323
51,1040832.2059856248
52,1050703.64448312
53,1052924.757614956
54,1048784.2407865168
55,1043774.3313411368
56,1043454.5804372036
57,1043987.1896269469
58,1048308.1870038487
59,1053313.4954925578
60,1048431.3020840057
61,1057686.3042874462
62,1053721.4834138441
63,1053721.4834138441
64,1051032.73365178
65,1038750.9423630232
66,1040718.9413473842
67,1038875.610562142
68,1048897.013917918
69,1058689.7615953323
70,1061022.574883976
71,1058735.0046610888
72,1061459.7775428977
73,1069414.354374834
74,1066289.126764203
75,1062161.1972821106
76,1065430.510241065
77,1064300.2249989484
78,1067374.2266648014
79,1064896.4862894756
80,1056664.947316982
81,1051143.074672217
82,1057430.7041669094
83,1052042.534141166
84,1046396.5575732524
85,1042957.6378232441
86,1044683.3377153258
87,1045870.6935388652
88,1056343.2129811305
89,1047161.64096521
90,1048989.07494425
91,1037303.8420418963
92,1049454.6370424293
93,1043299.4707383458
94,1041436.1530158988
95,1039421.0267830772
96,1042769.6029170613
97,1045678.6579775508
98,1055822.25480271
99,1061788.760128015
100,1055177.217936836
101,1058481.8891601316
102,1051263.437912865
103,1052766.2296484462
104,1057724.8748223064
105,1059404.6310115966
106,1068009.2564432558
107,1070465.8657703022
108,1072690.0636501382
109,1074520.8059896245
110,1073737.913622803
111,1068792.6470074735
112,1065214.18594945
113,1060843.1694565564
114,1065742.2875767432
115,1063990.4979993734
116,1069100.2280259184
117,1072950.2781653218
118,1072009.59602039
119,1082000.3341062996
120,1048568.6419348071
121,1033521.4981080169
122,1040750.6311276712
123,1059732.6643736614
124,1071560.154421383
125,1071034.5869321742
126,1071034.5869321742
127,1065016.2129058407
128,1062322.9638676005
129,1076066.8989317953
130,1080553.3925869209
131,1089130.7022615205
132,1090410.0975101378
133,1097190.1445993865
134,1097226.2671971763
135,1096843.6099248352
136,1101718.6428884696
137,1101379.0384962235
138,1099773.531727856
139,1102310.5993331044
140,1092809.8404592162
141,1087917.938849856
142,1083074.9980548795
143,1078533.82944027
144,1076368.4416098152
145,1063332.8879364904
146,1064015.3768982063
147,1063046.8400898108
148,1063792.0853545507
149,1072690.3232343423
150,1072536.6111457956
151,1072449.1632588324
152,1064264.688537534
153,1070284.2053622566
154,1072484.7806400429
155,1070208.211727613
156,1063647.1739077892
157,1065855.6238693364
158,1071009.9228347144
159,1060115.7770819985
160,1058302.0871110663
161,1057464.589206022
162,1055586.0613374456
163,1051656.4060827766
164,1050836.2660659158
165,1057984.366029142
166,1054551.7744691595
167,1051077.954476255
168,1050168.8723825964
169,1053992.767107023
170,1062809.361820997
171,1061608.9755124028
172,1063968.8991974005
173,1043656.0724150216
174,1053962.1355349098
175,1034596.4603425728
176,1030272.3420190968
177,1038982.5039754462
178,1030591.9955674238
179,1027791.2134242128
180,1024123.5728477704
181,1034647.1066068768
182,1038214.4047687573
183,1034561.94059248
184,1027545.6600071215
185,1033682.7039143359
186,1055820.968291486
187,1046317.8725137787
188,1057336.7297974152
189,1057336.7297974152
190,1046932.1265008426
191,1053563.7285438864
192,1051305.5956954674
193,1048444.7818211116
194,1060490.5060583968
195,1049391.7422856386
196,1045512.7746584141
197,1041023.1693102523
198,1042835.8584637095
199,1043120.9144943481
200,1039948.5973991492
201,1043035.0238576807
202,1041031.6734408364
203,1036571.4686706291
204,1043302.4997847634
205,1046263.1735795848
206,1058013.4125568941
207,1056834.4531238687
208,1049466.3568477805
209,1045503.2570599716
210,1042634.5788282058
211,1035835.3684012376
212,1034900.0958045971
213,1032123.3750571694
214,1053665.4248846134
215,1052403.599633206
216,1058291.2121762712
217,1063651.954981394
218,1065811.9747704973
219,1058106.9860551234
220,1057048.8808479714
221,1057048.8808479714
222,1057217.8922432936
223,1056900.846807293
224,1059993.8641692398
225,1062440.0578293444
226,1062730.674572498
227,1064610.9301444157
228,1063891.1032996378
229,1064154.5914929956
230,1069346.4164052666
231,1068277.1635600498
232,1068277.1635600498
233,1068277.1635600498
234,1068598.4021940082
235,1072696.6976964287
236,1075244.5876740715
237,1074872.9575132302
238,1074495.3495457317
239,1075931.9295027263
240,1074413.0082726637
241,1076313.9757410698
242,1073921.591680135
243,1077186.4112023788
244,1082084.8375590772
245,1081862.738439385
246,1077584.9374446606
247,1077873.4666487777
248,1078269.0521395009
249,1071713.7966061549
250,1068565.6090156932
251,1066320.7836714643
252,1066320.7836714643
253,1082233.9440847738
254,1080410.330257473
255,1083595.052137573
256,1079729.0139539142
257,1077747.1766301831
258,1083174.4664821178
259,1078528.4743552888
260,1079035.4855538076
261,1072677.277592825
262,1072498.8855900434
263,1067051.4059977415
264,1073904.5878169714
265,1070624.9772550478
266,1076883.1914076346
267,1087390.8369338035
268,1088936.0529162406
269,1088084.9116254996
270,1083794.2466080284
271,1076490.3089513206
272,1077731.6012533377
273,1075004.2136408805
274,1086066.9679533958
275,1086140.5697765157
276,1089526.313156948
277,1087680.6090228844
278,1095729.2697809408
279,1099358.770507946
280,1106519.396736126
281,1110998.1823187063
282,1118980.1768646808
283,1121062.4115360451
284,1126374.0929749869
285,1134168.386407604
286,1135157.4333827016
287,1136982.1472747615
288,1136264.1737885096
289,1138550.4534858512
290,1137448.0420880702
291,1154476.3257000542
292,1146791.9689977835
293,1145772.8807683373
294,1141815.1906126977
295,1141148.146826153
296,1139531.6385511588
297,1140111.9507937431
298,1138739.3356770135
299,1139779.2969317434
300,1140706.805824642
301,1143005.7263989064
302,1143893.194581661
303,1141171.8330772968
304,1141004.6410973931
305,1124533.429522991
306,1117371.0804430195
307,1119814.2069729422
308,1116934.4029590415
309,1113495.118841686
310,1122547.4853333093
311,1120364.7169106102
312,1123656.586688595
313,1119431.3360798454
314,1117259.2798408314
315,1117259.2798408314
316,1114925.3911321792
317,1115000.8725620105
318,1115405.2340689823
319,1113371.227457576
320,1115454.2631936462
321,1113121.5061951291
322,1108757.5821066813
323,1119827.3197150098
324,1119186.500402735
325,1114532.187755306
326,1120275.675967038
327,1117209.2632887466
328,1122447.0212415536
329,1130113.594987647
330,1121703.369337629
331,1124099.4711547606
332,1125673.9726939143
333,1120137.8704816187
334,1119017.7495031129
335,1118608.5944008627
336,1118974.6837800802
337,1119398.508789223
338,1120598.1378161015
339,1119939.2899004295
340,1119939.2899004295
341,1119939.2899004295
342,1119836.6560684363
343,1119672.9611418964
344,1119672.9611418964
345,1119672.9611418964
346,1119672.9611418964
347,1119672.9611418964
348,1119672.9611418964
349,1119449.431202773
350,1120173.9609078171
351,1119846.132965014
352,1119777.3638332626
353,1119720.4984416496
354,1120689.5789478244
355,1123548.281702941
356,1127802.2279710923
357,1125679.2910000486
358,1121733.0267019877
359,1124864.005725636
360,1123403.6958444258
361,1122447.2953534746
362,1119304.2652014971
363,1123981.3250130506
364,1126267.9745047805
365,1126226.9541901443
366,1125997.993561406
367,1133839.553469243
368,1129966.8532479904
369,1130954.9937892198
370,1130299.9441241506
371,1134320.1437455795
372,1134214.373654561
373,1126974.6248323105
374,1133642.0343209887
375,1123052.8056015826
376,1127824.225485311
377,1132404.2050907179
378,1132404.2050907179
379,1123542.405908927
380,1129843.9501741277
381,1130576.3728909025
382,1129856.2999180786
383,1136492.8007511059
384,1135995.7952195795
385,1141988.3049449385
386,1141052.114927162
387,1141822.9050950848
388,1147824.9647095713
389,1150703.1046205366
390,1146864.4133676966
391,1144018.107790732
392,1138327.398366675
393,1137650.0099667879
394,1136512.3906564382
395,1136512.3906564382
396,1136512.3906564382
397,1136512.3906564382
398,1136805.7656564377
399,1137829.7416564377
400,1138239.1526564378
401,1137112.3916564374
402,1136345.8856564376
403,1136179.5116564378
404,1130515.1476564377
405,1130249.5776564376
406,1136615.0276564376
407,1136968.7586564377
408,1141467.2296564374
409,1128875.4296564374
410,1124639.2296564374
411,1126839.0296564377
412,1136139.2296564374
413,1130862.0296564377
414,1125341.8296564377
415,1127032.0296564377
416,1124248.2296564374
417,1132029.6296564376
418,1133764.0296564377
419,1137279.4296564374
420,1135074.8296564377
421,1120152.0296564377
