day,account_value
0,1000000.0
1,999723.87810081
2,994685.8222076208
3,983384.1089372941
4,976130.2323336336
5,974657.0429318935
6,980575.140758776
7,957022.9185105793
8,972247.2235633907
9,951520.620456508
10,950699.1496278158
11,932147.2203320644
12,941667.1344863459
13,961884.3553983951
14,943841.2541685869
15,967076.2582669968
16,959281.43789796
17,971995.7799471648
18,993146.0929624664
19,992152.960897705
20,992152.960897705
21,992152.960897705
22,992152.960897705
23,992152.960897705
24,992152.960897705
25,992152.960897705
26,992152.960897705
27,989038.4527086859
28,995028.0269718124
29,994736.8982109365
30,997113.1806093764
31,994964.878967012
32,994275.5574353592
33,1002870.5572325387
34,994494.1372820436
35,997086.5366762831
36,1009040.6447095536
37,1009250.2330029948
38,1000580.5201302648
39,1023197.4708709277
40,1023660.3076414769
41,1025602.5820610569
42,1028972.555735548
43,1033060.1028544168
44,1021180.417534885
45,1021324.9258397156
46,1022927.0805411856
47,1035607.0034724787
48,1035532.3820653381
49,1036972.8531634479
50,1039234.6118733188
51,1046820.9872888605
52,1055252.6618943207
53,1055530.4066918006
54,1053144.2957857102
55,1046660.6310842398
56,1047556.3804871802
57,1049772.2408922208
58,1052029.32848298
59,1058303.3740905405
60,1053176.0238775194
61,1059225.3826833998
62,1052772.72798193
63,1052772.72798193
64,1053319.3338672074
65,1041279.3952259232
66,1043070.637242473
67,1043451.7436388907
68,1057182.1600569014
69,1077186.7604311588
70,1080504.5037410029
71,1075985.0698414228
72,1080744.4895485635
73,1096136.7225299857
74,1098235.7909323107
75,1091386.18694199
76,1096735.9029994337
77,1090806.3706274957
78,1097879.5049359263
79,1101590.785553988
80,1092291.9300004328
81,1085970.7800094336
82,1092377.6167991124
83,1077532.4474261757
84,1063641.617924225
85,1058169.5612635592
86,1061050.2213835712
87,1053592.7470661392
88,1070641.9808855215
89,1064507.1891603488
90,1062352.9108855212
91,1047885.9653409666
92,1057669.4960700395
93,1053965.008293262
94,1063049.9944738802
95,1050791.2676842012
96,1053999.445331966
97,1059107.1830997427
98,1071237.5981552482
99,1083812.7449449273
100,1074798.28976941
101,1077357.4395203849
102,1073624.705331966
103,1076033.3476752006
104,1084191.144704903
105,1083564.5208675195
106,1094139.3981462477
107,1091935.5775281857
108,1094583.479133346
109,1091711.5313565684
110,1082045.583210754
111,1072597.8535887916
112,1063665.9385332859
113,1060543.655202953
114,1064240.7037178043
115,1065009.8843268654
116,1072042.8330907421
117,1074975.5770391368
118,1073798.276052038
119,1091877.6391333465
120,1039205.6734777804
121,1021419.0418906215
122,1031032.9048699195
123,1050140.472637697
124,1067141.2827577086
125,1064618.081401573
126,1064618.081401573
127,1051863.657426943
128,1054314.2875520769
129,1072819.8086155006
130,1078428.80145184
131,1092814.89518586
132,1095328.308053721
133,1103771.9163051702
134,1105417.6079976873
135,1103029.914731816
136,1105348.628582785
137,1107803.0562801207
138,1102593.162763775
139,1107092.789864459
140,1100791.4900466374
141,1111711.7005166374
142,1114705.3623066377
143,1114536.2206666374
144,1111324.4145566374
145,1108173.6642966378
146,1102662.475426637
147,1106937.0434266378
148,1107900.3362766374
149,1117263.6606166374
150,1118101.9383466374
151,1115375.9215966377
152,1113318.611036637
153,1118940.8545166377
154,1117010.4945166374
155,1121262.0145166374
156,1116806.9045166376
157,1120106.0645166377
158,1116411.2345166374
159,1116734.8745166378
160,1116196.9645166374
161,1117449.5945166377
162,1109726.6645166376
163,1106000.0745166377
164,1102558.4945166374
165,1110094.0045166374
166,1107852.404516637
