day,account_value
0,1000000.0
1,999817.0651008105
2,996825.1252076213
3,989135.5159372943
4,983709.5463336341
5,984135.811931894
6,989076.9887587766
7,967842.1867905798
8,977575.8766161904
9,957470.6015527792
10,962910.1497972516
11,950052.5775528008
12,958745.3644579423
13,974708.6305239813
14,962002.9005308514
15,976998.5438285954
16,967721.8476494594
17,977900.1139353056
18,998889.9027201844
19,997891.0277135957
20,997891.0277135957
21,997891.0277135957
22,997891.0277135957
23,997891.0277135957
24,997891.0277135957
25,997891.0277135957
26,997891.0277135957
27,996096.9895245769
28,1000915.7317877031
29,1000660.1270268272
30,1002435.6344252672
31,1000376.1767829028
32,1000302.66425125
33,1007528.2740484296
34,1002895.8110979345
35,1005200.4224921742
36,1015596.7811954444
37,1011715.1206676615
38,1004852.0406445414
39,1025386.2486795848
40,1024269.2727074877
41,1026394.4132007912
42,1030376.5492415351
43,1032272.2485998188
44,1024070.1392470228
45,1025962.3429442559
46,1025653.3801372134
47,1039767.8864527276
48,1040716.5882033028
49,1042386.8737483384
50,1047212.3631067163
51,1055151.3790249487
52,1058687.7898435476
53,1059961.726487493
54,1058756.4331784023
55,1055074.8871660563
56,1055645.8779672238
57,1057523.4420870177
58,1060662.8603228908
59,1067185.6150287348
60,1061704.095286076
61,1067965.566781599
62,1064168.476365757
63,1064168.476365757
64,1060501.2416882613
65,1050980.9532963925
66,1052178.0152321274
67,1048860.5948037815
68,1059603.9845182786
69,1072022.986309078
70,1069842.370666453
71,1071279.227647798
72,1080484.513481863
73,1087638.646002298
74,1079508.1947919463
75,1071759.809936905
76,1070812.116885147
77,1070991.6021369172
78,1070780.716625748
79,1076161.216244278
80,1065368.7204508209
81,1060114.5504279328
82,1068555.060992508
83,1060149.855359268
84,1054673.450427933
85,1051435.9954813386
86,1057434.4108246614
87,1052886.9805805206
88,1064275.076305313
89,1046731.2113282012
90,1047492.8216791536
91,1031521.5663510895
92,1037876.2919232941
93,1026655.6709162141
94,1017363.291145096
95,1024005.3557712554
96,1029562.4860001373
97,1026482.0505500031
98,1037011.1317401888
99,1043121.1571445464
100,1041899.4319690705
101,1044769.6772971344
102,1043405.8078159331
103,1042111.7127014924
104,1047762.3974192048
105,1048601.9918927765
106,1055477.172152176
107,1055284.3771292877
108,1060676.6570835114
109,1059474.4667630766
110,1060155.8766562652
111,1053637.4856339262
112,1052546.970397415
113,1051181.9402906036
114,1053616.6408246614
115,1054567.300626297
116,1059024.3805805205
117,1061507.611435013
118,1061132.7312824249
119,1071499.9619843292
120,1036412.1703974152
121,1020189.1893293001
122,1032692.1850998688
123,1052426.2859391023
124,1065190.5514197543
125,1067111.9664121245
126,1067111.9664121245
127,1063733.5005564818
128,1062466.5051937178
129,1079348.6056852026
130,1083731.928853363
131,1092597.0066393071
132,1093662.8714140402
133,1099693.213868716
134,1100251.6706371352
135,1098552.1135450131
136,1095781.768928381
137,1097441.623737877
138,1093496.9173241593
139,1095846.4669637005
140,1092055.733350322
141,1104482.2845790773
142,1106328.0269435889
143,1103692.0590537859
144,1099247.4086561615
145,1095242.508800545
146,1088611.448777322
147,1097134.7240748685
148,1095802.9543953028
149,1108639.3598301786
150,1111926.9399064726
151,1110963.0500132835
152,1109861.0698759549
153,1115985.5900895777
154,1111767.4698149196
155,1119347.7699522488
156,1115578.94943345
157,1118059.009525003
158,1113359.3595555206
159,1114012.229570779
160,1111613.094608926
161,1113927.1447767727
162,1108300.9848225494
163,1107304.8349903957
164,1104946.6348835845
165,1110559.54993699
166,1108894.5147767728
167,1105807.6594487086
168,1101381.7345478907
169,1105497.514608926
170,1108586.4145631494
171,1116205.7496012966
172,1114416.8744258208
173,1089230.7634950343
174,1104093.8841359036
175,1085904.3137391752
176,1083655.4985331814
177,1093129.304242715
178,1091943.0642884914
179,1093091.204044351
180,1091831.263952798
181,1102870.0896775906
182,1107705.1597233668
183,1096931.9644258206
184,1087687.0990214623
185,1094611.1948225491
186,1111581.9648835843
187,1105907.0094029324
188,1118253.4995555202
189,1118253.4995555202
190,1109919.0983164248
191,1122360.976130685
192,1116311.8203334538
193,1113197.837997034
194,1115987.351966815
195,1104101.2061445992
196,1103080.1626065702
197,1097014.7241683386
198,1102308.5204657996
199,1097393.7719404758
200,1101830.4300390254
201,1112432.9039738965
202,1130244.2444607685
203,1138237.5330618292
204,1142080.306555356
205,1134841.1188037663
206,1133741.3382661378
207,1132668.9818399977
208,1126173.078881947
209,1122955.303054761
210,1118918.2285103179
211,1109308.36951424
212,1107982.110084713
213,1107990.9181656893
214,1133139.5963627198
215,1135105.6622331385
216,1160319.691019448
217,1169215.596708453
218,1168188.104762503
219,1171458.8409478434
220,1170286.5994905462
221,1170286.9994905463
222,1170357.598295527
223,1169736.8038937869
224,1172158.2826036578
225,1173797.3905874558
226,1176018.0279534922
227,1177985.7741332108
228,1175718.9399105886
229,1176892.8720729048
230,1181264.8975997576
231,1180084.2247738529
232,1180083.854773853
233,1180084.7347738529
234,1180187.5358923646
235,1185068.3890096764
236,1185894.463007276
237,1185490.6518380593
238,1185544.0939082662
239,1186936.7429592714
240,1183629.6511101865
241,1185738.1831884943
242,1186412.5804387191
243,1186854.243292905
244,1189883.0877297483
245,1189243.9731722926
246,1190121.0918208044
247,1189440.1984721636
248,1189902.9449318934
249,1182169.2443578523
250,1181071.742704891
251,1177077.8911394905
252,1177077.8911394905
253,1190441.1225026196
254,1186146.657425185
255,1188002.9146131258
256,1181961.329940438
257,1179976.0983004388
258,1188396.1425374378
259,1184892.0986629422
260,1184700.194581627
261,1179199.2924814094
262,1178784.983683644
263,1177244.4984808487
264,1182127.4538602477
265,1182455.4837821377
266,1186664.17910885
267,1195248.0490882506
268,1195223.0790897764
269,1203946.139086725
270,1191969.469103128
271,1183856.2590687957
272,1181362.4390832915
273,1175126.6090737549
274,1186343.59913212
275,1183144.6791237274
276,1185200.2291199127
277,1184990.9091229646
278,1192817.6991374604
279,1199192.3491489044
280,1212943.4191653077
281,1216879.9091843814
282,1222369.529191629
283,1225263.3591881956
284,1221851.1091958252
285,1225808.6892057434
286,1230711.3392015474
287,1230117.609208795
288,1230276.7791977325
289,1234416.7073676744
290,1231331.5474894948
291,1253001.8962379692
292,1237945.6793980643
293,1240945.6487015863
294,1239886.8686748836
295,1239222.643932878
296,1232996.0232172406
297,1229906.8376358808
298,1237123.8151493084
299,1237552.9591832748
300,1231879.2246638408
301,1241492.0328216313
302,1238250.2332572688
303,1239471.3341929887
304,1244369.3697919191
305,1228914.868944091
306,1229869.2289440914
307,1226870.4689440913
308,1225504.6689440908
309,1221324.648944091
310,1229578.1889440909
311,1226709.9189440908
312,1231666.4089440908
313,1227765.0589440912
314,1226039.358944091
315,1226039.358944091
