day,account_value
0,1000000.0
1,999736.7472791574
2,995156.4584502069
3,986621.4055072813
4,980435.1013255579
5,982521.7489881121
6,987481.7784656512
7,967960.8497235641
8,985132.318394619
9,960036.65133514
10,960981.1601893577
11,944247.7119740256
12,949853.9928432424
13,971470.3621666679
14,955538.1329270134
15,976502.3069245872
16,958205.8365315208
17,967334.6107873878
18,993312.4226144371
19,992319.1125523542
20,992319.1125523542
21,992319.1125523542
22,992319.1125523542
23,992319.1125523542
24,992319.1125523542
25,992319.1125523542
26,992319.1125523542
27,989814.3839835436
28,994382.9856135087
29,994135.5315612464
30,995990.3841836862
31,994259.2568361292
32,993595.9622472572
33,1000945.6765043464
34,991642.7998575554
35,995032.5623541999
36,1008030.6458283928
37,1005855.6109310486
38,997725.9259608034
39,1018882.301788135
40,1021289.6747124054
41,1022023.225821872
42,1026333.6848237949
43,1026543.4916321136
44,1019250.6374987366
45,1022656.2048910095
46,1021715.9732497744
47,1031579.2155665163
48,1032657.7947747377
49,1034679.3096637445
50,1039304.6620208152
51,1049828.2318739127
52,1058188.4370793742
53,1059168.850604277
54,1055503.050384799
55,1050736.7694240035
56,1050600.6979435405
57,1049075.2456814686
58,1057786.8434855104
59,1062890.5581412942
60,1059267.9256609154
61,1066307.9017557998
62,1062723.6638668738
63,1062723.6638668738
64,1061621.98664905
65,1052048.3795523238
66,1053439.514979895
67,1050484.4804805464
68,1059345.4550068823
69,1067688.61457185
70,1068218.189230725
71,1066784.558034597
72,1072932.519189065
73,1077504.12235145
74,1078642.5062087385
75,1073718.7257680034
76,1070831.3637252606
77,1070077.9588390864
78,1067547.556565895
79,1069764.76614113
80,1057178.8119252045
81,1053024.88619977
82,1059119.1864949537
83,1049763.5663273644
84,1043047.1326223081
85,1042316.6914898595
86,1046249.0638153693
87,1046543.0438832088
88,1058558.3138770151
89,1045250.9930678116
90,1046796.0246090401
91,1035183.6676511364
92,1045246.4890613377
93,1034267.9492483138
94,1029197.7992838144
95,1029675.893055622
96,1032426.2066487643
97,1028841.5116696284
98,1040672.2026972936
99,1046164.8859846492
100,1045267.4277223144
101,1048963.7509335654
102,1044161.1469213398
103,1043346.0456914395
104,1048508.91226399
105,1048020.4330417796
106,1052985.975344087
107,1053561.6595186195
108,1058585.7498980542
109,1061095.7960239444
110,1057970.8502042822
111,1050700.596711125
112,1049862.4825147314
113,1045923.866139877
114,1050505.139253958
115,1046876.6649588126
116,1052994.7408404518
117,1053968.4552947679
118,1052465.389398275
119,1062764.4574598586
120,1034764.2771412756
121,1025088.1157332374
122,1037774.7351060818
123,1053169.9797793448
124,1065109.6760495566
125,1066713.3807822634
126,1066713.3807822634
127,1066232.6600774585
128,1063573.2168074087
129,1077792.3719507002
130,1081073.0201028436
131,1083580.6871520027
132,1087439.8552908034
133,1091205.781547477
134,1093924.5007367122
135,1093882.8352143348
136,1097287.8953356317
137,1101670.4429289068
138,1097536.720003398
139,1100276.593733095
140,1095220.7523624357
141,1104173.097794022
142,1106099.1645256262
143,1101888.8544633845
144,1103705.002485928
145,1102124.9985854104
146,1095746.91590847
147,1097535.7392260958
148,1096648.2494182277
149,1105935.1280751459
150,1106348.4853028937
151,1105976.9690931055
152,1104948.563134205
153,1111507.3362155268
154,1110188.8470280406
155,1113873.5876482509
156,1110228.0309486315
157,1112229.2797123955
158,1113119.3384205576
159,1111138.8854084013
160,1109640.378123151
161,1109519.6086183821
162,1103353.444061547
163,1098440.422782427
164,1094986.6163815148
165,1101455.6489495535
166,1095777.1393497596
167,1089975.5203051018
168,1090696.9110409531
169,1095056.4634284028
170,1097047.032892793
171,1096529.6782592223
172,1096664.3352993664
173,1071553.7659144842
174,1086768.2949942192
175,1071993.8090494953
176,1069004.5772621941
177,1078836.9062882385
178,1076761.4299540885
179,1077421.3817036496
180,1077416.1677908262
181,1092438.0920091437
182,1099110.9916775988
183,1092357.767596646
184,1084792.220742998
185,1092332.715046473
186,1100481.577106019
187,1089776.1357538863
188,1100991.6762331505
189,1100991.6762331505
190,1091799.9228736241
191,1100313.896952795
192,1094351.4374267168
193,1088563.8835882628
194,1090406.7106621442
195,1076258.100432702
196,1077676.0903147974
197,1077198.403857415
198,1078178.289443395
199,1072744.5855714106
200,1076101.5651762132
201,1078453.109956038
202,1086415.5738044037
203,1092655.140217672
204,1096456.323584602
205,1087917.068860208
206,1084638.5591116215
207,1080872.4063305736
208,1084894.5211486735
209,1083619.1307160778
210,1076156.236908589
211,1071023.5856070938
212,1068105.194559922
213,1069901.5958815191
214,1090622.0518637472
215,1096132.8007652932
216,1118351.2710335427
217,1135056.9382901057
218,1136913.8906137329
219,1141686.8155985912
220,1140545.1306207515
221,1140545.1306207515
222,1141071.792890775
223,1140249.5890193454
224,1141666.1771137249
225,1143534.8345432216
226,1145800.687646693
227,1149941.237697166
228,1148359.9852250295
229,1144272.2151376621
230,1142087.675760923
231,1140945.5999804435
232,1140945.5999804435
233,1140945.5999804435
234,1140963.7337034876
235,1145974.0494492098
236,1145826.7402083063
237,1145357.0801121541
238,1146093.7524104838
239,1147972.830699558
240,1144597.5089748441
241,1145298.4558317822
242,1144964.6910235023
243,1147973.8498151687
244,1152399.7488119616
245,1150872.4266925894
246,1149748.4104192846
247,1148473.189650501
248,1149069.0982722612
249,1142401.9679277288
250,1142595.133554147
251,1137844.411080297
252,1137844.411080297
253,1147169.0204031938
254,1143810.3771603382
255,1145428.8678187416
256,1141954.511637814
257,1138726.4308594188
258,1144363.2722569122
259,1142003.3618340895
260,1142231.4742110423
261,1136564.592654191
262,1128863.6859848192
263,1121754.1267734696
264,1132127.9050591548
265,1128974.3081668606
266,1129651.6716696224
267,1133434.1676503664
268,1135432.4764964604
269,1132877.2383391226
270,1127156.9673632798
271,1122231.0466974622
272,1120596.8685706311
273,1123338.115721968
274,1135809.913312987
275,1133685.4535445392
276,1132896.3952102645
277,1132858.8944948562
278,1142498.2948954757
279,1143830.6622241957
280,1150339.3731135544
281,1156747.7496070084
282,1163419.679988478
283,1160981.734018553
284,1158001.1048258194
285,1168038.1038833605
286,1168252.4817710095
287,1171180.666989287
288,1169511.3797104629
289,1171715.4028221876
290,1168092.5201755508
291,1181848.5173371872
292,1179034.2935384354
293,1178480.0272610458
294,1177789.7909080489
295,1172890.4545585616
296,1168282.7510412582
297,1169814.9363826737
298,1171278.1900758343
299,1168878.798325804
300,1167700.6824333174
301,1174992.6640042865
302,1174950.0209227738
303,1167464.498761366
304,1165882.7306794722
305,1153580.0075063307
306,1141790.6996714766
307,1142021.7405051407
308,1137944.6961303696
309,1132715.6152740458
310,1141804.6989665206
311,1139601.5023663314
312,1146024.5559841902
313,1139503.6716547378
314,1140269.6624378192
315,1140269.6624378192
316,1138350.4817198808
317,1137424.33736424
318,1138374.7637286612
319,1138384.6323538914
320,1138128.97379473
321,1138975.8886275676
322,1130849.285125222
323,1139883.272475288
324,1131383.4752198688
325,1127310.8762280096
326,1134752.7616677643
327,1128793.8498192935
328,1137474.3557044466
329,1147749.829294975
330,1145374.1901233369
331,1144538.2829058436
332,1141184.8163832277
333,1141143.7810464376
334,1140002.667687314
335,1139838.9719569422
336,1139162.3401058991
337,1140519.9959388357
338,1140474.9082729258
339,1140145.0994262162
340,1140145.0994262162
341,1140145.0994262162
342,1139907.5548500738
343,1139771.9599725723
344,1139771.9599725723
345,1139771.9599725723
346,1139771.9599725723
347,1139771.9599725723
348,1139771.9599725723
349,1140028.0451640238
350,1140967.640142867
351,1140755.153076587
352,1140588.068853724
353,1140156.1784110288
