day,account_value
0,1000000.0
1,999997.4773103836
2,995484.7898692164
3,985168.3417525606
4,979459.4377735731
5,979474.1019426388
6,985073.0302131284
7,962394.3190677336
8,973886.3701856687
9,952709.2660269156
10,954891.5002900708
11,943101.410845186
12,955143.6841883112
13,964150.9755835405
14,953951.7525984736
15,969885.9919182323
16,954826.0005403792
17,961646.8244811884
18,980856.758308718
19,979875.9167998673
20,979875.9167998673
21,979875.9167998673
22,979875.9167998673
23,979875.9167998673
24,979875.9167998673
25,979875.9167998673
26,979875.9167998673
27,977957.474319268
28,981975.3487146929
29,981726.1282861672
30,983804.6049221169
31,982316.1632813864
32,981348.9763877791
33,989838.8362719014
34,984090.6263409208
35,985373.6914217828
36,995891.9847079582
37,993585.2701196852
38,988115.366365422
39,1006800.5659637746
40,1005485.1548296431
41,1008961.4224024876
42,1012713.2885255985
43,1018323.1002855368
44,1012660.1687745815
45,1015402.4656049076
46,1016796.5679604636
47,1032110.555780238
48,1034629.2336760041
49,1035543.7730111438
50,1041249.6628065612
51,1050600.8657666806
52,1057460.3610802304
53,1059022.7317734924
54,1056471.6052743485
55,1049457.0704390479
56,1050632.9850753162
57,1052602.9102111615
58,1055201.540070042
59,1060020.2760314092
60,1056747.9472647314
61,1060878.665329076
62,1056888.918704454
63,1056888.918704454
64,1057190.5900987734
65,1048519.8084671013
66,1050214.3495235816
67,1047372.4778038771
68,1057451.7560270713
69,1064258.1849583574
70,1064067.73291371
71,1063389.418690458
72,1071093.7107460238
73,1077392.4852383656
74,1077450.0693569423
75,1068709.4133772715
76,1072410.2767748835
77,1072835.9790958136
78,1074170.7964638995
79,1078628.5918381696
80,1068659.2262937736
81,1064723.2952319551
82,1072656.211208337
83,1065708.9161385018
84,1061169.7576426791
85,1061740.0834934078
86,1066537.055813901
87,1063380.402908067
88,1074862.0319268988
89,1060763.38478898
90,1061351.4602233982
91,1051866.2471790824
92,1060061.2703187426
93,1048114.5416365896
94,1045392.6038091922
95,1037689.3048403412
96,1040627.3560195104
97,1039652.6950670213
98,1051915.0196847366
99,1058895.6872616648
100,1058450.6432990623
101,1061560.0672307776
102,1057996.416659135
103,1057714.539553456
104,1061129.268112064
105,1063528.0949917613
106,1068925.716881608
107,1071306.8749444387
108,1075988.2920692726
109,1076055.6853654396
110,1071813.6680469671
111,1066382.2015287222
112,1062822.6998515064
113,1058463.2783143874
114,1063573.1543111505
115,1063835.7875230922
116,1070804.1236814926
117,1071541.86253387
118,1066820.7737323223
119,1080209.3751883495
120,1044874.3256860632
121,1029160.8942818576
122,1044460.8320516334
123,1061357.5429212123
124,1076482.8018900172
125,1075793.1643599414
126,1075793.1643599414
127,1074706.9118930264
128,1070709.983680129
129,1084814.400165557
130,1089478.6109247643
131,1096786.3509186571
132,1098427.5094699638
133,1103965.812932727
134,1104640.9444848949
135,1105141.2483254098
136,1105098.2189573424
137,1108734.0087278702
138,1105310.8150290754
139,1109811.9982971756
140,1100063.3851543616
141,1097794.6600630092
142,1090363.871654577
143,1089040.6219625052
144,1088398.0123641815
145,1075043.7193074895
146,1074532.8416894777
147,1079601.4460380694
148,1079448.2679553344
149,1085452.679507756
150,1087407.6483604352
151,1087926.3570949093
152,1081583.05034701
153,1088916.6205283937
154,1088565.6228868836
155,1092392.039433761
156,1087000.139258938
157,1087361.334732775
158,1092838.3780130148
159,1087047.8340834414
160,1085751.4963915446
