day,account_value
0,1000000.0
1,999975.2079670465
2,997610.1791993564
3,993175.0449239071
4,990227.1470713579
5,990827.7351213658
6,992811.0932596866
7,983963.3121975979
8,989458.9896961051
9,978321.983847318
10,977782.9838446764
11,971268.8702324604
12,974353.8506444972
13,981690.2320772076
14,973707.7544962598
15,981610.1151391686
16,975648.6500093519
17,977330.171050632
18,990246.4638034531
19,989678.2056895731
20,989678.2056895731
21,989678.2056895731
22,989678.2056895731
23,989678.2056895731
24,989678.2056895731
25,989678.2056895731
26,989678.2056895731
27,988574.1209716214
28,991384.318969833
29,991250.1759359245
30,992397.5539356451
31,992096.8375922836
32,991704.3034516288
33,994701.5803843256
34,991622.236613201
35,992581.9269513629
36,997109.3644590856
37,996733.5950675319
38,994382.5802773419
39,1001127.2315965176
40,1001245.4401066684
41,1002473.6158173048
42,1003593.4607655104
43,1004696.3734214834
44,1002119.1274495623
45,1003416.5828296036
46,1003437.7883341905
47,1010920.205488273
48,1011078.4749294687
49,1010411.5321588736
50,1012568.1366579988
51,1018742.5282450092
52,1024061.0879904334
53,1024172.1235311372
54,1022405.725669445
55,1020298.0871116077
56,1019514.9576599344
57,1020802.5962410831
58,1024374.3742546908
59,1026376.8762845049
60,1025170.0408062419
61,1030299.5272149064
62,1028472.0002063344
63,1028472.0002063344
64,1024607.9400452076
65,1014012.1357716513
66,1017216.0923207579
67,1016427.65938971
68,1023690.6395446595
69,1032934.5464747972
70,1033421.60179684
71,1031906.4902716788
72,1036225.6845973296
73,1036329.3365616474
74,1036530.5322748146
75,1028182.2266001672
76,1031636.0542112206
77,1029568.7553543305
78,1031120.5827307024
79,1032176.6121323428
80,1020787.5598550236
81,1014430.303054516
82,1020497.6112098277
83,1012678.487762678
84,1006659.6073172248
85,1005128.94516317
86,1005715.4931862846
87,1005380.7307820921
88,1016519.3064433857
89,1006284.1102226373
90,1005422.091972132
91,994601.0775789779
92,1005027.4187537957
93,994098.0004313214
94,995410.082447575
95,991299.8246006608
96,999248.3535192079
97,1000140.6027937715
98,1013344.8947774724
99,1022181.2575058604
100,1019739.7619223745
101,1022725.6871563788
102,1019810.9393476726
103,1019778.8901114898
104,1022652.936473556
105,1021107.260494802
106,1027962.8412721738
107,1028115.658789478
108,1032058.2543293672
