,0
0,1371039.92330036
1,1371245.9134837696
2,1371078.7330269346
3,1371078.7330269346
4,1371078.7330269346
5,1371078.7330269346
6,1371078.7330269346
7,1371078.7330269346
8,1371078.7330269346
9,1371078.7330269346
10,1371078.7330269346
11,1371078.7330269346
12,1371078.7330269346
13,1371078.7330269346
14,1371078.7330269346
15,1371078.7330269346
16,1371078.7330269346
17,1371078.7330269346
18,1371078.7330269346
19,1371078.7330269346
20,1371078.7330269346
21,1371078.7330269346
22,1371078.7330269346
23,1371078.7330269346
24,1371078.7330269346
25,1371078.7330269346
26,1371078.7330269346
27,1371078.7330269346
28,1371078.7330269346
29,1371078.7330269346
30,1371078.7330269346
31,1371078.7330269346
32,1371078.7330269346
33,1371078.7330269346
34,1371078.7330269346
35,1371078.7330269346
36,1371078.7330269346
37,1371078.7330269346
38,1371078.7330269346
39,1371078.7330269346
40,1371078.7330269346
41,1371078.7330269346
42,1371078.7330269346
43,1371078.7330269346
44,1371078.7330269346
45,1371078.7330269346
46,1371078.7330269346
47,1371078.7330269346
48,1371078.7330269346
49,1371078.7330269346
50,1371078.7330269346
51,1371078.7330269346
52,1371078.7330269346
53,1371078.7330269346
54,1371078.7330269346
55,1371078.7330269346
56,1371078.7330269346
57,1371369.499148286
58,1371407.9955089334
59,1373216.517721579
60,1373884.3564776664
61,1376475.3405491933
62,1374693.9510889642
