,0
0,1000000.0
1,999744.7974567396
2,999880.2443672316
3,997633.3225474439
4,997189.041642758
5,995052.2553692467
6,992596.0063483923
7,992376.7071888504
8,986950.7544369977
9,987923.0066296306
10,989561.9634396217
11,978083.9818784492
12,987962.9785402342
13,985509.3649745559
14,984639.8227267631
15,985180.9582112366
16,987247.0208386112
17,995050.167428278
18,988131.7705571054
19,983427.9323393097
20,981221.2899669099
21,986497.6870227145
22,984658.8922058741
23,989320.9831310811
24,998543.8466012056
25,998471.7694444063
26,982546.2884377665
27,985105.6155153832
28,984517.9939399802
29,980105.5774667086
30,963504.6916760372
31,964872.4522085709
32,957717.6833369606
33,954222.9254253444
34,936243.4629926947
35,949632.2985937565
36,942786.0925069188
37,940187.79162449
38,941913.5220371995
39,921308.9379388031
40,918933.3292606357
41,933302.1255481516
42,913611.2673097549
43,913991.1785229077
44,907530.245254244
45,936180.7394607037
46,936973.3524905225
47,952597.9913476628
48,954452.3307968646
49,952705.6129288631
50,967042.4850743981
51,971926.4763799701
52,967878.6860387358
53,956157.7767609328
54,997195.8648038735
55,988234.4905694621
56,990926.9994222482
57,1004057.2272442249
58,988123.390748845
59,973262.9813233367
60,982505.8229321828
61,992423.114867362
62,1013393.226179793
63,1018959.1028264312
64,1016565.6578830156
65,1000216.6031681317
66,1005799.6457645344
67,1022971.0458542921
68,1017135.1204948118
69,1007725.6337723676
70,1012908.6796591855
71,1016699.877205858
72,1014161.2345499033
73,994228.3348832775
74,1004035.2604948375
75,1001221.3980540914
76,1004398.225747395
77,1009957.4554458477
78,1005517.1883610357
79,1011626.2925843569
80,1027991.810459384
81,1029129.8322479089
82,1038156.2601395813
83,1058047.8026964944
84,1058243.810387637
85,1061838.4939676616
86,1053279.5520802592
87,1070316.5165786531
88,1056089.913452432
89,1061301.240379472
90,1040862.1632624153
91,1044974.7261917253
92,1036596.9217494172
93,1063672.2556118448
94,1063110.7651395237
95,1054631.7720224299
96,1035591.6288031593
97,1030210.3912510131
98,1053556.9352954356
99,1037197.6696398177
100,1046522.3648605368
101,1058780.7332141306
102,1088340.6769884015
103,1091108.8225656198
104,1080550.913111346
105,1089662.6832720311
106,1091101.3388130968
107,1090377.903387665
108,1092641.2325328593
109,1090309.3031939738
110,1094225.847782149
111,1093464.3986685427
112,1072137.1470620378
113,1061096.2074027853
114,1058554.3665139254
115,1059195.00484862
116,1056171.6032110313
117,1030419.903265499
118,1032489.7700616472
119,1032897.0109355702
120,1054403.1957774998
121,1050802.7752066078
122,1061374.2379443739
123,1048518.9354600115
124,1055081.281178232
125,1024422.450977467
126,1025812.693959487
127,1007054.9973823947
128,1008453.4011575531
129,1010448.8712418987
130,1001473.7535032014
131,1023855.7303297038
132,1029571.1585081378
133,1065869.0979521999
134,1081279.77639756
135,1092814.0661344824
136,1111448.8425416884
137,1129195.914824033
138,1123415.6161082203
139,1151844.3818321112
140,1160551.7887808431
141,1165491.7986441462
142,1158369.1675813952
143,1150429.2175060592
144,1161088.2045149363
145,1164537.63318009
146,1179489.2163354657
147,1189146.1523843186
