,0
0,1457085.2287709815
1,1453500.267420412
2,1458259.6326876718
3,1475099.542480235
4,1473624.4483610226
5,1473624.4483610226
6,1473624.4483610226
7,1473624.4483610226
8,1472857.89513212
9,1473821.9761958465
10,1472672.1481565898
11,1475435.3764368894
12,1469879.7221126938
13,1468831.1783054208
14,1468831.1783054208
15,1468831.1783054208
16,1468831.1783054208
17,1468831.1783054208
18,1467645.3494060747
19,1467444.1973591058
20,1461235.3681789308
21,1464856.4343214934
22,1463959.5582597605
23,1463382.7846767288
24,1463382.7846767288
25,1463382.7846767288
26,1463382.7846767288
27,1463382.7846767288
28,1463382.7846767288
29,1463382.7846767288
30,1463382.7846767288
31,1463382.7846767288
32,1463382.7846767288
33,1463382.7846767288
34,1463382.7846767288
35,1463382.7846767288
36,1463382.7846767288
37,1463382.7846767288
38,1463382.7846767288
39,1463382.7846767288
40,1463382.7846767288
41,1463382.7846767288
42,1463382.7846767288
43,1463382.7846767288
44,1463382.7846767288
45,1463382.7846767288
46,1463382.7846767288
47,1463382.7846767288
48,1463382.7846767288
49,1463382.7846767288
50,1463382.7846767288
51,1463382.7846767288
52,1463382.7846767288
53,1463382.7846767288
54,1463382.7846767288
55,1463382.7846767288
56,1463382.7846767288
57,1463382.7846767288
58,1463382.7846767288
59,1463382.7846767288
60,1463382.7846767288
61,1463382.7846767288
62,1463382.7846767288
