,0
0,1000000.0
1,1000002.4489060981
2,999989.9872791533
3,999885.9274669078
4,999894.3750350216
5,999807.2084746471
6,999681.13961887
7,999728.873187237
8,999495.4296196178
9,999536.5290568257
10,999628.3285129981
11,999096.7139099063
12,999695.7237540971
13,999497.2040612584
14,999515.6070859024
15,999489.0683318869
16,999694.072639032
17,1000223.6399175959
18,999725.576574755
19,999402.7336369365
20,999412.8649519415
21,999706.65250157
22,999810.8455060871
23,1000316.7756812839
24,1000956.3171710186
25,1001003.936043252
26,999782.1712296195
27,1000157.4341668227
28,1000208.5148766857
29,1000051.4673793988
30,998575.7808245339
31,998558.3640077286
32,998448.6114030496
33,998171.109617089
34,997054.0432192978
35,998788.3651407704
36,998210.2130116747
37,998223.3664214916
38,997928.6411930051
39,996528.6428393839
40,996034.5068419634
41,997035.843914961
42,995746.9884891437
43,995146.8464671485
44,994690.2528193729
45,997287.5685738843
46,998080.845611383
47,999436.3464397837
48,999747.185992828
49,999038.9793271857
50,1000406.0079208332
51,1001336.0096984031
52,1000450.2645676732
53,999697.5544251977
54,1003607.909400625
55,1003048.0750172944
56,1003540.2651552769
57,1004155.4002862768
58,1002802.7252767519
59,1000928.0323066305
60,1002251.8788762175
61,1003580.5214061537
62,1005039.3315522304
63,1005971.3463673517
64,1005395.0531881882
65,1004423.4010453229
66,1004671.8189624612
67,1006732.1772083421
68,1007635.8084271421
69,1004608.4756305488
70,1005957.9179289902
71,1006348.8340927721
72,1005946.5103589062
73,1003786.4455869914
74,1005471.4791021161
75,1005044.4054578604
76,1005773.522142975
77,1006022.2061053754
78,1005996.0625005373
79,1005963.4984599375
80,1008395.3408570266
81,1008576.7027112902
82,1008691.8325086881
83,1011168.8894944614
84,1011079.9572552897
85,1011769.8183167982
86,1009769.135178985
87,1012020.1457664738
88,1010540.4715545167
89,1011049.4069194351
90,1008230.1613782566
91,1009655.9449579213
92,1009450.7624640871
93,1013548.9702181171
94,1012710.5432729834
95,1010838.9591036674
96,1010116.9704535241
97,1009714.5786001463
98,1012992.0983895239
99,1011155.7001984376
100,1013050.3196804451
101,1014142.2468614826
102,1015919.1822846829
103,1015740.3500516859
104,1015388.3025287532
105,1018172.0897742633
106,1018551.9597639379
107,1018219.0036596616
108,1018309.3882526935
109,1017199.9555783619
110,1016863.3484123034
111,1017113.7602847883
112,1014714.0825189204
113,1014501.2744609852
114,1013289.7879564618
115,1014520.2149051479
116,1014507.001848628
117,1010804.0294917889
118,1011836.9580564899
119,1012485.0209234048
120,1014668.4470590481
121,1015177.3493170022
122,1016778.3253605778
123,1015359.6260760082
124,1015855.418254357
125,1012284.7404865669
126,1013390.9997468966
127,1010225.2879678241
128,1009288.8287734343
129,1010755.5756522132
130,1009985.1817452741
131,1014657.1804902434
132,1014843.6967718429
133,1019605.377646856
134,1021200.092270368
135,1021657.4931114843
136,1024341.0209933933
137,1025500.0336107346
138,1025803.0380831704
139,1030485.4809943342
140,1030313.6499550826
141,1030441.9833570118
142,1028925.4472020578
143,1027964.8470105029
144,1030178.5181984073
145,1030978.6303258793
146,1032986.6874762834
147,1034222.080395425
148,1034618.3158100438
149,1033827.7514975675
150,1033647.339205855
151,1031316.9115786804
152,1029877.6001506036
153,1033446.7532300354
154,1034653.7852805727
155,1032862.5917754192
156,1028304.321330848
