day,account_value
0,1000000.0
1,999045.4765611895
2,993855.7209214269
3,983374.408179164
4,978980.6239561641
5,980610.7739359706
6,987305.5870997744
7,963144.1315860122
8,976859.1217787445
9,952204.2917214022
10,953752.191291898
11,941693.9430030648
12,945438.1034698534
13,966774.6971562143
14,949859.5576275449
15,964832.748991712
16,953299.3282314776
17,958856.8589481604
18,982901.1519321487
19,981918.261739137
20,981918.261739137
21,981918.261739137
22,981918.261739137
23,981918.261739137
24,981918.261739137
25,981918.261739137
26,981918.261739137
27,979715.5896680108
28,985288.0525895522
29,985003.1835333144
30,987296.7835154514
31,985217.9216300913
32,984451.0208011002
33,992917.419209242
34,984699.4788135102
35,989647.2890786212
36,1002288.1595335432
37,1001509.2594031419
38,993288.9669376012
39,1014458.9640241108
40,1014546.0433643787
41,1017759.6635935091
42,1021321.4088156893
43,1021084.4845239862
44,1015020.7940146412
45,1015299.1477969559
46,1015714.7535308736
47,1030614.4080645579
48,1030178.927595759
49,1031313.9687281252
50,1035539.1538080799
51,1044244.1548106981
52,1050861.7804146158
53,1048887.229216537
54,1046927.9509267202
55,1045350.7595574649
56,1044783.2929549259
57,1048327.7200127208
58,1053713.604789686
59,1061054.0738460359
60,1058136.1270927964
61,1065831.0261245815
62,1064390.4785386669
63,1064390.4785386669
64,1057939.2601790673
65,1044462.8767539496
66,1046313.5968216902
67,1046496.6697452931
68,1055310.2528652179
69,1067528.189035531
70,1067545.569750019
71,1065917.0636714422
72,1071673.8302681227
73,1071230.5913512704
74,1076593.8779353972
75,1062265.4721839994
76,1068150.805968197
77,1066513.021443863
78,1066638.6975171592
79,1070195.822481475
80,1057497.6104920064
81,1054543.838937668
82,1059197.8981658455
83,1051047.2226947406
84,1045876.9900180913
85,1050930.2137660636
86,1053156.4383951223
87,1052703.7477463423
88,1066821.0904209078
89,1060875.1687429894
90,1061525.0638168277
91,1055233.769872383
92,1061178.348787025
93,1048336.8844870176
94,1055138.642363991
95,1041878.937090324
96,1054298.235255388
97,1050420.0012985505
98,1065322.4501399554
99,1076995.5978832187
100,1077771.796016043
101,1082472.841896161
102,1083903.5395101295
103,1083616.0941337908
104,1088130.320751442
105,1081774.971268101
106,1084097.3188135386
107,1087708.6142711116
108,1089289.344943304
109,1086685.1508621552
110,1082625.7875358248
111,1074386.3469367886
112,1065219.0555428409
113,1062047.3328402806
114,1067996.0940112737
115,1067126.184939151
116,1073943.8893088438
117,1077211.0404930736
118,1071648.1824971058
119,1089918.7221593952
120,1043945.9580653764
121,1024318.4100868227
122,1044069.8631926966
123,1067131.0725065044
124,1086332.1176524165
125,1085463.6282238723
126,1085463.6282238723
127,1078754.8227555815
128,1076108.6842560852
129,1090139.2176882178
130,1095231.3819552213
131,1101627.404513913
132,1103943.1453754709
133,1115555.2700768223
134,1114970.1155347272
135,1114573.649031313
136,1114073.1669248056
137,1118588.8522837171
138,1113182.4020221988
139,1119371.843733066
140,1117160.4674438485
141,1112841.6036146265
142,1124813.8055732755
143,1124956.6497558742
144,1122317.9918924137
145,1126250.7120391163
146,1118455.8723906127
147,1126363.2471328662
148,1128104.2896999812
149,1143871.1105621657
150,1142308.7622068464
151,1142178.4312400015
152,1138169.8208433543
153,1142102.522467228
154,1138730.4787726507
155,1144667.1742835054
156,1140136.0408357535
157,1139512.81743106
158,1140149.4113541609
159,1136457.2815574273
160,1134380.5852281058
161,1136365.4738436665
162,1132213.1365360126
163,1131569.0354847491
164,1128136.269367572
165,1135325.5658447563
166,1133624.195704843
167,1132612.276273643
168,1135394.2831126363
169,1141043.282214485
170,1144471.0793423378
171,1147561.497892285
172,1133674.2167258079
173,1111512.7614369544
174,1128531.0037802134
175,1125030.3827566013
176,1131962.0508190498
177,1148981.5257130968
178,1138524.3600025757
179,1137314.3323079022
180,1138373.0693342744
181,1144518.60248736
182,1153053.345962573
183,1144463.834272352
184,1134951.3974734123
185,1145199.53425943
186,1150840.7368881856
187,1140361.8330936346
188,1149139.3784505043
189,1149139.3784505043
190,1141918.7952453347
191,1147416.6037758002
192,1149930.5124052742
193,1149261.183292806
194,1160568.497695105
195,1152377.303571787
196,1152633.494291626
197,1148107.5694483342
