day,account_value
0,1000000.0
1,999299.9551008105
2,995089.4172076213
3,985604.8169372943
4,981155.4533336341
5,983013.0799318941
6,987176.3307587764
7,964026.7317905795
8,974806.751383391
9,951280.892733715
10,952593.1251414559
11,937756.4559481705
12,942509.295975848
13,953345.7011654672
14,940559.3199605469
15,955344.075550298
16,946996.4664323857
17,951237.7236481076
18,974311.6332700695
19,973337.3251053531
20,973337.3251053531
21,973337.3251053531
22,973337.3251053531
23,973337.3251053531
24,973337.3251053531
25,973337.3251053531
26,973337.3251053531
27,971185.2899163343
28,976161.3921794605
29,975904.3494185844
30,977966.8578170243
31,978032.11317466
32,977590.2506430069
33,984057.6324401866
34,977448.1304896915
35,979643.0978839312
36,990828.8305872013
37,987799.7392506428
38,980516.4648336009
39,1003030.272603403
40,1003714.8435827008
41,1008586.917474048
42,1010772.0543177327
43,1012050.1796402648
44,1005290.3486822688
45,1006400.987614162
46,1008134.8155499556
47,1024311.3973261331
48,1024282.3302094216
49,1023307.5971491156
50,1025966.4175751582
51,1034059.6771821191
52,1042491.5638007808
53,1041581.1630537059
54,1038453.8387482757
55,1036427.1108124821
56,1037748.7966840692
57,1041526.0781782186
58,1046014.8354389445
59,1050460.0876801684
60,1050900.4788202823
61,1059054.840563457
62,1054917.1326276632
63,1054917.1326276632
64,1050352.6223831542
65,1038348.3299574864
66,1040127.8332956205
67,1039931.9451602319
68,1050002.7658984135
69,1060581.767702155
70,1063257.6931163913
71,1060100.7581874505
72,1068251.5067889718
73,1074550.4898489716
74,1079366.443498972
75,1069695.4710489716
76,1075397.0158489717
77,1073130.2570289716
78,1072795.6930289718
79,1078775.0730289714
80,1064121.3130289717
81,1061350.5130289716
82,1072485.0130289716
83,1060030.6130289715
84,1053976.3930289715
85,1051463.2746952146
86,1055772.472751245
87,1053637.0560837642
88,1067698.5084389204
89,1053837.6492174238
90,1053215.8221368114
91,1041446.4256771173
92,1050868.035440064
93,1035875.7272878509
94,1040799.3221947344
95,1035682.9655469377
96,1037981.220704866
97,1037518.7499599318
98,1051392.437231241
99,1060781.489158388
100,1059159.3182272206
101,1060610.437482286
102,1055352.6872960527
103,1056396.9042903723
104,1057735.6217607523
105,1050652.7907168968
106,1051757.350352835
107,1051006.0888626284
108,1051908.2630623535
109,1048941.5830623535
110,1040492.5630623541
111,1032761.1230623536
112,1023073.4830623536
113,1022913.4230623536
114,1029463.6430623536
115,1024912.9330623536
116,1031692.0930623536
117,1033267.6730623536
118,1031240.6730623536
119,1046657.2030623534
120,1010063.7330623538
121,993702.5730623537
122,1010839.4730623536
123,1026098.7630623536
124,1038838.8230623537
125,1041678.7530623536
126,1041678.7530623536
127,1041143.4294323536
128,1040833.4811923538
129,1058071.4995123537
130,1063979.8211723538
131,1074012.4868123538
132,1075121.7701336115
133,1083224.2278773459
134,1083174.7014012726
135,1082176.8201135062
136,1084132.083118016
137,1086698.2298178328
138,1083732.2572985252
139,1086721.4574767242
140,1078861.3111056157
141,1080971.6423943688
142,1077812.8121960314
