,0
0,103.95093657029793
1,956.2034310740419
2,483.28817209182307
3,-2960.3046897728927
4,2327.51040312415
5,291.326144882245
6,1085.3292437684722
7,446.7575181799475
8,369.03499440615997
9,-2718.3226519161835
10,-60.17861807835288
11,-271.2418842690531
12,4709.703635356855
13,4111.428574497346
14,3007.7676973165944
15,-1184.1556937163696
16,-3127.8847949609626
17,3607.8404156195465
18,-2438.8027343342546
19,-826.9173897078726
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-458.94669875805266
35,1669.9905092965346
36,5131.208645487903
37,-53.44305601459928
38,1135.683844294399
39,-2269.1931908901315
40,-410.94738739170134
41,0.0
42,-2.5496185356751084
43,-346.9289275724441
44,-1081.4542569769546
45,-1402.577561345417
46,2314.924447268015
47,-471.0217714828905
48,0.0
49,0.0
50,0.0
51,1573.7788425323088
52,-198.51861743931659
53,951.4990439256653
54,122.22678719111718
55,-2166.831573712174
56,-1380.3454987087753
57,-2681.7752029823605
58,1315.985545008909
59,-591.419234015746
60,0.0
61,0.0
