,0
0,1181042.1463443395
1,1180628.7839043173
2,1180460.9409912387
3,1180460.9409912387
4,1180460.9409912387
5,1180460.9409912387
6,1180460.9409912387
7,1180460.9409912387
8,1180460.9409912387
9,1180460.9409912387
10,1180460.9409912387
11,1180460.9409912387
12,1180460.9409912387
13,1180460.9409912387
14,1180460.9409912387
15,1180460.9409912387
16,1180460.9409912387
17,1180460.9409912387
18,1180460.9409912387
19,1180460.9409912387
20,1180460.9409912387
21,1180460.9409912387
22,1180460.9409912387
23,1180460.9409912387
24,1180460.9409912387
25,1180460.9409912387
26,1180460.9409912387
27,1180460.9409912387
28,1180460.9409912387
29,1180460.9409912387
30,1180460.9409912387
31,1180460.9409912387
32,1180460.9409912387
33,1180460.9409912387
34,1180460.9409912387
35,1180460.9409912387
36,1180460.9409912387
37,1180460.9409912387
38,1180460.9409912387
39,1180460.9409912387
40,1180460.9409912387
41,1180460.9409912387
42,1180460.9409912387
43,1180460.9409912387
44,1180460.9409912387
45,1180460.9409912387
46,1180460.9409912387
47,1180460.9409912387
48,1180460.9409912387
49,1180460.9409912387
50,1180460.9409912387
51,1180460.9409912387
52,1180460.9409912387
53,1180460.9409912387
54,1180460.9409912387
55,1180460.9409912387
56,1180460.9409912387
57,1180772.8157751341
58,1181520.0871999713
59,1182945.127996202
60,1183481.794721644
61,1184562.9048231207
62,1183620.1793049155
