,0
0,1000000.0
1,999530.2345962129
2,999538.4935559127
3,998224.265683293
4,997255.1285917746
5,995759.1364568938
6,994465.6459395401
7,994602.7623049745
8,992399.4939574915
9,992527.7925877235
10,993065.1910659615
11,989178.8128058561
12,993090.9315233302
13,991256.7281950547
14,991102.2374878103
15,991737.5534113123
16,993157.7151224004
17,998569.1086263641
18,992089.2234036551
19,990063.9124950581
20,988480.6088633651
21,992007.2430995427
22,989369.8627250073
23,994262.7249822258
24,1000903.658539306
25,1000714.7137240347
26,987796.5774345328
27,988977.6451872656
28,988014.2342887623
29,984761.8613573168
30,971296.8475873325
31,971449.6019995974
32,968283.5955013144
33,963967.004515942
34,949688.7359201456
35,962666.0674084292
36,955187.0367241506
37,949756.1551690302
38,946159.2031358387
39,931118.5928285753
40,928671.4337693662
41,938593.1096441555
42,923621.9043605503
43,925046.3411781657
44,921639.7599826062
45,943670.6529675148
46,946138.8126956741
47,957541.3300043588
48,960062.4142521124
49,958647.5536107658
50,970385.4259838085
51,974550.089873828
52,970481.948366302
53,961446.875036086
54,987675.9920809307
55,982722.8107110504
56,986039.8018523792
57,996273.0966151418
58,986408.7348373806
59,970671.873751891
60,978377.9298916783
61,988250.7904021926
62,1003929.0702587399
63,1008780.81090643
64,1005136.606373892
65,992140.3162601796
66,994971.1886206234
67,1016065.1096978582
68,1016046.7473731721
69,1000031.1471586081
70,1008619.6960239748
71,1012075.6405176809
72,1009021.4820488419
73,986573.5853367238
74,1000045.6145323175
75,997055.4596321827
76,1004416.0441774335
77,1013928.601145404
78,1012594.2974406963
79,1011628.9253876782
80,1030184.9832250611
81,1030463.7621566104
82,1035426.2393751758
83,1053412.9140887326
84,1054518.3201367448
85,1063775.7356142038
86,1050182.2365035543
87,1071361.4126256956
88,1055233.106060285
89,1059695.6030362744
90,1038012.3972746802
91,1047633.3472495098
92,1043155.4115711771
93,1070367.416084648
94,1065452.9723737915
95,1056861.3448772556
96,1045874.94350786
97,1041405.174840522
98,1061678.0540685127
99,1049665.5086839409
100,1060088.7442395838
101,1067174.5611743694
102,1086941.5923945582
103,1091309.7631278788
104,1084061.0511701447
105,1103710.5543969413
106,1108617.7682252768
107,1106348.4766816571
108,1106529.0076714028
109,1101736.0556821371
110,1097534.985248808
111,1102689.6802416118
112,1083351.747570454
113,1077413.9970255771
114,1073306.5970774246
115,1079591.051399875
116,1077493.035124512
117,1055386.946204689
118,1052055.610920241
119,1048882.8485798337
120,1063554.8520766795
121,1061218.198493377
122,1069787.1055794563
123,1062732.0431937675
124,1065325.5690641534
125,1045741.9040537304
126,1048541.9241692045
127,1031351.262064509
128,1032114.3474389086
129,1032027.4900531822
130,1030156.8662898366
131,1045363.8002237815
132,1047553.8529884657
133,1065898.1272622882
134,1073167.734884946
135,1072663.5950364415
136,1084481.9267406662
137,1094751.1912019516
138,1092150.0716128522
139,1113521.8046816173
140,1115553.0464033259
141,1117310.2443258674
142,1118931.398359832
143,1114968.434876331
144,1121961.239304624
145,1123413.2005643416
146,1132721.8867941618
147,1136762.271745221
148,1130899.348241583
149,1132464.257464301
150,1139023.2902202609
151,1131179.6431693928
152,1124961.1967943101
153,1136665.333114909
154,1138672.7148451973
155,1128588.4067316079
156,1110269.2492144324
157,1116128.0411778213
158,1121525.7713979194
159,1129865.8250556986
160,1145871.7971497916
161,1150151.5198666712
162,1154310.02652056
163,1152543.688672065
164,1161863.8192233604
165,1156670.3489356441
166,1148712.2821339606
167,1129320.4115574919
168,1126676.110654492
169,1133428.5982315857
170,1144806.0952679631
171,1153268.7746435723
172,1160356.2680501153
173,1170026.9548264951
174,1168987.0279912048
175,1172656.2565078407
176,1178644.0824463342
177,1189672.7098020636
178,1190557.279505732
179,1193592.162327552
180,1188298.3758926075
181,1197269.3427203156
182,1186350.9333977203
183,1181810.0818242829
184,1174908.5129547317
185,1192059.853610054
186,1191162.0091157602
187,1188774.7286976497
188,1160939.457248472
189,1157826.5170782432
190,1175189.1354661444
191,1188543.8497391774
192,1188215.4782337495
193,1193194.8437208897
194,1200509.9348235456
195,1200331.5335380372
196,1197578.0945242937
197,1218503.954211051
198,1219626.194892345
199,1211510.5419985233
200,1222812.2873151111
201,1218509.3331880674
202,1204558.860338975
203,1224623.0448323535
204,1211739.4757302834
205,1201903.7279594073
206,1200192.9870892877
207,1180465.8870243009
208,1203986.9735425645
209,1171278.3344447368
210,1178076.4582148485
211,1176865.663676414
212,1177960.768355929
213,1200949.7039121774
214,1199881.8476197226
215,1226632.5850592847
216,1226768.8626427965
217,1235144.3272339501
218,1224444.2502559258
219,1230362.434483425
220,1246457.0475211747
221,1249308.3408685352
222,1245995.480307656
223,1231714.1294585774
224,1226097.4235883805
225,1242113.6827178684
226,1239407.6785538276
227,1243017.0789462607
228,1220739.2438989207
229,1230491.877721548
230,1245479.1786774562
231,1241824.4408825678
232,1230837.257749904
233,1239165.8581504563
234,1236613.483675043
235,1224550.8559365952
236,1234751.439356598
237,1240627.2936143703
238,1246255.5965811184
239,1247821.770005522
240,1239483.6193887782
241,1238152.1898525045
242,1220488.9083823913
243,1224678.1072011748
244,1235601.753847431
245,1240217.603682445
246,1239794.0823689783
247,1245960.1414671876
248,1249688.3059878545
249,1250329.617892082
250,1252314.1695320217
251,1241002.180651412
252,1264751.5017502173
253,1268762.0468822184
254,1269585.1380719382
255,1277347.2140228325
256,1277039.3363911367
257,1281198.8970445043
258,1271842.0213968912
259,1276599.634293115
260,1279596.0481352268
261,1265165.5452482745
262,1279426.1268103505
263,1264673.9798309554
264,1234732.4523542628
265,1202484.431980944
266,1208391.1997800723
267,1203368.1057087185
268,1211315.7216221245
269,1199267.6608094869
270,1184185.3049269824
271,1202499.5216339394
272,1211924.8549121825
273,1209852.3149264285
274,1176074.3101881458
275,1177213.1650017588
276,1163730.7638642865
277,1185753.5428382708
278,1182897.6653347958
279,1198885.1891230626
280,1192659.9114138107
281,1214116.7164060187
282,1217562.5560728908
283,1227413.7717091425
284,1229270.2087997727
285,1226698.44386618
286,1213113.0978907049
287,1223673.2098528151
288,1214997.8319040188
289,1216011.2354331096
290,1226779.6005161512
291,1229419.326501703
292,1229452.3449527072
293,1237904.1727665178
294,1257639.134933917
295,1254882.0351510767
296,1256301.7937120649
297,1264716.9814349697
298,1270019.171368582
299,1273633.5124228003
300,1269102.3003245103
301,1273734.3737695653
302,1279643.3820605897
303,1287735.5119221283
304,1280951.6172604247
305,1285840.8714032993
306,1296509.596749745
307,1289536.060758093
308,1290328.0118183026
309,1290850.643097459
310,1299071.8287369364
311,1302447.9385197992
312,1294551.0596920871
313,1301675.3143709146
314,1307834.0151945532
315,1307257.755374116
316,1300051.2078287979
317,1301128.8887768565
318,1310433.6332384406
319,1310015.4705127003
320,1310738.34672768
321,1322385.655014342
322,1324709.284020652
323,1304479.237409011
324,1312953.2022880677
325,1313468.9298361305
326,1319226.3956261042
327,1323535.3008985687
328,1328727.6384981994
329,1330071.0717293168
330,1308228.3543896365
331,1317417.844951134
332,1330890.7347564895
333,1309156.2704386832
334,1326364.5048771256
335,1299626.86988949
336,1289366.9925936526
337,1248959.5012934783
338,1232065.7322163025
339,1283761.6079297198
340,1280916.3203225033
341,1309710.8496564345
342,1294950.0459263634
343,1273956.7596920964
344,1269080.7897355212
345,1254235.3851245742
346,1240123.98811656
347,1193113.37373523
348,1209487.2097422262
349,1194761.4921243163
350,1192442.1230274579
351,1185379.263217787
352,1220418.0310409558
353,1204069.3468069367
354,1187835.809242076
355,1213536.374498062
356,1217528.461387752
357,1178923.7731769104
358,1162037.0309670307
359,1172572.7734873167
360,1169964.7217493206
361,1203438.7777559485
362,1212312.068700996
363,1209561.3951999887
