day,account_value
0,1000000.0
1,999723.0547398896
2,997090.859848984
3,991869.1463691612
4,989440.5139543926
5,989696.7678961643
6,992004.9317943036
7,984620.4861039405
8,987886.1676508344
9,979732.91167529
10,979736.6224539862
11,973405.5761180872
12,976769.6083388557
13,987718.8206652586
14,978121.8027089705
15,990026.5924872202
16,979904.860041866
17,983554.7620078152
18,1000480.4379985642
19,999774.3134999976
20,999774.3134999976
21,999774.3134999976
22,999774.3134999976
23,999774.3134999976
24,999774.3134999976
25,999774.3134999976
26,999774.3134999976
27,998948.9088130004
28,1001747.9259382527
29,1001601.3135477614
30,1002753.7809239894
31,1001903.2507719551
32,1001494.7267646292
33,1004662.6837441628
34,1001873.693897704
35,1002630.4052781112
36,1005274.6016067748
37,1004342.3769463641
38,1002109.7799780396
39,1010243.2549185076
40,1010635.2075354956
41,1012274.4327250012
42,1013406.6055933931
43,1014641.832546912
44,1011122.787209887
45,1013558.6106164608
46,1013302.445069958
47,1023556.7501349708
48,1023753.4956166536
49,1023362.203005343
50,1026506.0532113223
51,1031892.413999122
52,1036980.9290456764
53,1037209.9552405936
54,1035517.711118342
55,1034340.412677562
56,1034980.3177420676
57,1035487.0131559152
58,1039631.0771164087
59,1043091.6849396572
60,1041741.1495332387
61,1047313.7042178723
62,1043833.5137610649
63,1043833.5137610649
64,1039582.29058358
65,1029714.144729138
66,1031529.6612641574
67,1030921.43202859
68,1037607.0600256805
69,1046835.2225895821
70,1047430.5129939094
71,1046196.6738719052
72,1051336.431088902
73,1055169.1274424815
74,1060347.6586384126
75,1049866.7641338243
76,1052595.7699872109
77,1051336.7367207615
78,1052370.4895692726
79,1052670.4828661082
80,1043819.5084231808
81,1041230.2692232651
82,1046633.357213245
83,1040912.6775942227
84,1036411.1691629748
85,1038171.5047015065
86,1039968.9260279469
87,1040023.9650656894
88,1050412.3685587859
89,1041950.7172621505
90,1041703.285461548
91,1034282.8958043059
92,1040939.5167890595
93,1030907.4864704096
94,1033436.2256396981
95,1025279.7947822664
96,1031003.9824244105
97,1028464.2758484336
98,1041122.2327152828
99,1047503.9335536496
100,1046067.8871966077
101,1049454.0598873934
102,1046122.9147061269
103,1047254.8309439487
104,1051135.508612831
105,1050957.4241009352
106,1056843.665886361
107,1057196.3477014436
108,1060837.8472179568
109,1062041.0950237971
110,1058297.2707467792
111,1051302.9634813566
112,1047794.4697593695
113,1044873.3302339895
114,1048423.3602528016
115,1044389.357640633
116,1049380.0784425715
117,1051240.703072942
118,1048048.6494751205
119,1058010.093503829
120,1033386.1313096451
121,1023336.9432817536
122,1037966.2617270693
123,1053031.7448505277
124,1065521.6680824598
125,1065266.249534297
126,1065266.249534297
127,1066398.4474137786
128,1062565.647646334
129,1072921.1686329609
130,1076103.9213884573
131,1080673.278682805
132,1083013.7675112968
133,1088421.3239165798
134,1088121.5639817584
135,1088414.981771755
136,1092776.3071042423
137,1095410.4666930116
138,1091149.0066261657
139,1095335.5635366556
140,1088614.6106587509
141,1084934.972424236
142,1083658.3163946578
143,1082441.0767798892
144,1081639.9296233205
145,1077603.88348642
146,1073496.5856266168
147,1075308.013905475
148,1075473.0423426416
149,1082039.9495267079
150,1081712.331772593
151,1081041.3405012859
152,1077935.1021540377
153,1083812.6695241546
154,1083794.798789917
155,1083871.724911603
156,1078769.5797115841
157,1080309.9067648742
158,1082423.195909957
159,1077343.2120145764
160,1075463.4271750902
161,1075876.9579712811
162,1071477.5227376048
163,1068289.310453677
164,1064570.667440057
165,1070944.6106962804
166,1067901.636691679
167,1065323.7950702948
168,1064820.2536383686
169,1069219.0446728705
170,1074198.3421638315
171,1074720.1768452695
172,1074114.4866119863
173,1052087.0195424706
174,1063107.188538195
175,1047871.387787339
176,1047753.6722373993
177,1058301.6351429091
178,1053678.9374953124
179,1052447.4813790887
180,1052439.7858719807
181,1060160.277330627
182,1063963.426664761
183,1056654.7714729863
184,1049438.2523114604
185,1057747.4533627143
186,1059772.5555625355
187,1047024.2709948528
188,1055870.4195236948
189,1055870.4195236948
190,1050068.6555819972
191,1055724.9650262385
192,1052333.5705802059
193,1049975.6627151652
194,1056660.8303451906
195,1045008.1053910791
196,1045064.2686944606
197,1042989.0600919449
198,1042539.3119171752
199,1039941.1543651478
200,1035494.38458463
201,1038025.2707215385
202,1043855.2173990152
203,1045119.21624004
204,1048003.5021148962
205,1044240.1756299251
206,1045406.4828484084
207,1046638.0477916609
208,1046114.3230836884
209,1048431.6795715672
210,1044374.1536018781
211,1039693.3715663259
212,1038388.15929239
213,1035800.3616444523
214,1053471.4929307548
215,1057314.300371116
216,1072931.6701794178
217,1080107.699910797
218,1079039.9685628202
