,0
0,1157978.6552093748
1,1161218.5853986337
2,1171123.6876080425
3,1167945.13425098
4,1165008.7062196871
5,1168661.1563674216
6,1168619.484821007
7,1167190.1051475715
8,1169115.963564157
9,1176109.8858331335
10,1175384.1099710716
11,1174269.6030743679
12,1172599.4785666068
13,1177183.6501845974
14,1178916.554152664
15,1181768.2634473005
16,1176532.231536091
17,1175355.106359257
18,1174775.460866008
19,1174603.7776895904
20,1174603.0976895904
21,1174870.811823104
22,1174697.787623284
23,1174697.237623284
24,1174443.8658855099
25,1175183.3757834998
26,1175488.7159461158
27,1172383.2872146426
28,1170132.9331036317
29,1170625.9322131425
30,1165167.7002294373
31,1161941.9785017325
32,1167021.7614086003
33,1165855.9867330915
34,1166074.4769110093
35,1165902.4147852964
36,1165069.6018453024
37,1165262.1923304508
38,1164403.684486166
39,1172478.083593577
40,1175375.6989710147
41,1188196.1792206399
42,1181687.3006516718
43,1187128.5055380415
44,1181388.7269676316
45,1180183.4594444083
46,1180449.3662413254
47,1182975.7623706895
48,1188371.2477816567
49,1190074.1769245304
50,1186090.9411853384
51,1179755.3687606296
52,1189055.2173938341
53,1198494.4937510379
54,1195826.2996151417
55,1194815.1208471796
56,1203535.4231200402
57,1205116.238406184
58,1200651.112984759
59,1201373.0504234945
60,1203945.1830268323
61,1198966.6996000235
62,1206994.488794203
