,0
0,1000000.0
1,998996.1025937166
2,999443.9240767433
3,994958.6083311795
4,994591.1937312055
5,989769.3863997154
6,985478.8779958965
7,984859.1098472103
8,969702.8592701026
9,969264.1605834732
10,974497.3924794699
11,945197.0193980439
12,977476.9794576428
13,966856.0236101223
14,957139.0303908646
15,956835.7928404381
16,963918.6919753307
17,989636.031629439
18,964828.5687928697
19,945080.2747604664
20,934649.8531647354
21,948494.8881782368
22,936292.5514378484
23,948665.0915870061
24,970941.4852285133
25,972290.487432448
26,931403.6367046608
27,937539.3543335666
28,938098.6043335666
29,925798.5276677572
30,888814.4638410887
31,890517.8062687601
32,878414.3276793297
33,870622.9026748292
34,840955.5707152047
35,867627.7735247714
36,857388.9710045193
37,850871.8687170049
38,842558.489632525
39,810606.063479767
40,805979.2332650311
41,824445.3817708817
42,788387.0476729005
43,790811.3185588463
44,776853.378952314
45,820118.0816194736
46,817773.375385386
47,843659.6647681814
48,850850.846793384
49,852053.0912372569
50,875417.4403873149
51,885971.7495373726
52,870196.3918904652
53,853857.8565130703
54,912723.955484396
55,895778.8872705603
56,906080.7505634753
57,925688.1956605564
58,905142.2568563903
59,881240.3283981159
60,894095.3469039665
61,912722.3879210682
62,939747.9393290662
63,952383.8620910567
64,946756.7173668698
65,920841.0142589877
66,927835.0809813741
67,958023.3393740706
68,954157.5329590004
69,934358.2533614695
70,948996.9427442647
71,962072.0316320107
72,966273.696448778
73,934871.3809698017
74,959816.0460013048
75,946385.0893714989
76,954424.7005107558
77,962194.4976806155
78,958523.1323777995
79,963299.6110382085
80,982120.0231325893
81,987182.4794589361
82,993111.5387311492
83,1017938.3992622023
84,1012693.0065452163
85,1013473.7934939112
86,1003179.0612333993
87,1031135.834526443
88,1015082.9058894365
89,1019297.0932200266
90,993839.7832971773
91,1003630.0291966244
92,1000507.5995515169
93,1031605.6334617651
94,1027770.329829259
95,1023801.4086810013
96,1007387.373864234
97,1006287.2983736849
98,1030172.2539298119
99,1006355.0377860545
100,1018797.7909980902
101,1031543.4626774009
102,1051721.2587941557
103,1061643.5423675128
104,1052520.295534544
105,1060441.031761881
106,1062094.0158148576
107,1059312.3098588334
108,1060936.3596145234
109,1057432.7015291434
110,1057604.0144518642
111,1056548.5068049566
112,1036743.4726323964
113,1024198.4440339651
114,1023582.1565362153
115,1028951.654108544
116,1027090.2189728875
117,1001994.3016358683
118,1001820.8821399186
119,1001067.8527931267
120,1021003.8383106786
121,1021230.940532615
122,1028856.7781049437
123,1019528.5967509511
124,1024290.9461723218
125,995372.2448479036
126,1001837.7700671399
127,982051.8318326023
128,984684.9048299019
129,986822.4142602736
130,982708.7049700589
131,1006240.3956412688
132,1007964.6861453193
133,1039113.7484122602
134,1049288.013193024
135,1061664.7635749194
136,1076408.3353261088
137,1087297.1882785326
138,1086099.2802381571
139,1110799.7666416545
140,1117069.7574332193
141,1119157.4952876621
142,1117756.0184341196
143,1115451.3782939627
144,1127715.1082078111
145,1125789.6633344667
146,1147006.8212501155
147,1154234.7361324609
148,1149808.8320884851
149,1142242.745786569
150,1151725.3279905037
151,1145058.045386672
152,1134742.4603911724
153,1151826.3232483151
154,1154463.8706239099
155,1142283.368234814
156,1116348.207751337
157,1126955.6832598879
158,1134521.0179184964
159,1143458.872848418
160,1164832.828971602
161,1163461.4083839715
162,1162314.0045663042
163,1162113.0417091614
164,1160336.2809813742
165,1157958.1116525843
166,1154947.043054153
167,1131868.2725086985
168,1126659.896426919
169,1135874.9830747265
170,1151192.202055053
171,1159680.6859382987
172,1167416.1423417958
173,1178547.3274388774
174,1174907.5910148062
175,1186172.528659142
176,1192974.544829902
177,1207596.7390500384
178,1209625.6241381185
179,1214650.574585592
180,1205739.4884804098
181,1218217.1131660212
182,1206453.8642782755
183,1202370.2617580236
184,1196160.0063060496
185,1210289.8942693903
186,1203409.5288533045
187,1200034.4899835603
188,1172061.5561811812
189,1167995.1290166064
190,1185184.9547866976
191,1200254.8875764625
192,1201492.2009376558
193,1209431.3334759094
194,1221114.7302728747
195,1223598.0954831103
196,1219424.618405831
197,1240768.8057428503
198,1244876.7213825574
199,1230050.021140819
200,1245180.8448839076
201,1245327.1646601707
202,1232402.6206007646
203,1257212.7626439692
204,1239256.4930850132
205,1227936.8903590264
206,1228417.7423572263
207,1214792.0048324736
208,1239048.235232371
209,1200386.4243669987
210,1211351.3745251575
211,1211985.6070274075
212,1214056.2598755492
213,1241101.2748737622
214,1243605.4812835474
215,1271699.1322620737
216,1274964.0861928954
217,1281367.1394409346
218,1276940.320025993
219,1283959.125805857
220,1300022.750109573
221,1305351.7362057539
222,1299692.7384662656
223,1286563.4617168764
224,1281843.151352983
225,1295957.1836404975
226,1295682.2009980904
227,1300287.6468795356
228,1277943.6919791885
229,1284638.8695605178
230,1298404.7245740192
231,1296620.011949614
232,1283052.5865542174
233,1283201.3602613024
234,1282403.6704284619
235,1270991.448692574
236,1278016.9152568018
237,1281783.1285819917
238,1287545.755295377
239,1293967.053333181
240,1284226.2350150635
241,1284776.6031094443
242,1268700.334502012
243,1270642.397490311
244,1278675.8560141632
245,1284444.8823816571
246,1290011.3796350968
247,1297666.7259280118
248,1306070.9223790853
249,1305891.3651706504
250,1304838.8062263273
251,1289570.7680537673
252,1311130.8824806672
253,1311128.2461106014
254,1309807.8177063325
255,1311532.2795643755
256,1315900.109069326
257,1320627.7221232026
258,1319041.762841989
259,1322358.1490513242
260,1324235.2771842803
261,1308930.8241599777
262,1328387.6889767454
263,1310352.5842480583
264,1280721.696100572
265,1256622.994845332
266,1263597.649517442
267,1263198.6333601838
268,1264613.3700097913
269,1247494.5193277805
270,1239629.8080294647
271,1259587.1420987716
272,1264433.3393367813
273,1265190.3381229455
274,1232806.7544364342
275,1233286.945360955
276,1219038.4180599393
277,1242824.7397752537
278,1240193.137476938
279,1254936.7441355467
280,1250684.6854895393
281,1270701.4303063068
282,1275380.2030322936
283,1288884.0370682972
284,1286824.5064114886
285,1285106.561488768
286,1272884.15875288
287,1283162.432329709
288,1275774.488299106
289,1277180.896655799
290,1288230.6205300435
291,1289690.5460385943
292,1290968.5502857335
293,1293421.4892120548
294,1307801.0586604278
295,1303944.4393522113
296,1305553.6219110386
297,1304175.959903838
298,1311525.4157762823
299,1315120.7352246558
300,1314104.8443747137
301,1319467.5738230872
302,1323547.4178940656
303,1325441.3815175707
304,1316112.2189560302
305,1321172.1498562617
306,1335557.7080162207
307,1330258.7963909153
308,1328027.5946550274
309,1332157.2570916996
310,1333853.2826388257
311,1339699.4513639126
312,1334512.2737125047
313,1345822.8324600935
314,1355405.5584906966
315,1353505.9449983477
316,1343009.10276741
317,1342358.8171932811
318,1349828.95826696
319,1350002.5345508743
320,1351887.3215445734
321,1366452.7087144332
322,1368861.8070055482
323,1353037.4745418734
324,1362052.7466236528
325,1362152.7292480583
326,1366844.5267458078
327,1368246.8831730292
328,1378659.2249983475
329,1381652.6315059983
330,1354446.9773064354
331,1370817.140814215
332,1380333.653456622
333,1356939.6321977815
334,1374140.1020100485
335,1339232.055272232
336,1331236.405231728
337,1288800.314511013
338,1267281.2506007648
339,1320094.7636880735
340,1317760.0104940399
341,1341289.1306792013
342,1333485.6511176736
343,1308596.5458264302
344,1303718.0192351998
345,1293093.4855846919
346,1282537.7572189982
347,1238916.41489548
348,1257011.8457158478
349,1243956.2140455379
350,1246436.072587392
351,1236239.4709323836
352,1270943.8229307123
353,1253379.7037356498
354,1235262.0870338366
355,1260547.3912153977
356,1261283.76948401
357,1223782.8049996335
358,1208649.8764102028
359,1226857.085942156
360,1221099.1693123502
361,1255945.7397122474
362,1261008.5539413847
363,1256197.0249044807
364,1282576.9740159635
365,1286672.9425128133
366,1291373.7155101127
367,1294670.449096843
368,1295793.5519521858
369,1277946.7550626397
370,1280005.8832791755
371,1260490.1989484567
372,1259878.861235971
373,1261899.4624588077
374,1228336.7418261732
375,1217862.2752349426
376,1211743.7110713832
377,1202424.220558332
378,1209178.8053480966
379,1245714.089617738
380,1260486.6282206695
381,1271259.5659781597
382,1270418.695254873
383,1289284.7977266489
384,1290957.1423825575
385,1287279.2005801913
386,1254809.6192287705
387,1259438.8897983988
388,1267345.7566043653
389,1256477.3167445222
390,1281106.5570806414
391,1294090.0541651214
392,1304609.6353223799
393,1306419.7674697374
394,1302103.738814729
395,1296681.4528947086
396,1296465.30132598
397,1322171.8227995562
398,1304315.393457908
399,1307064.1739259546
400,1311322.1768756781
401,1306989.0823123504
402,1319692.9513375526
403,1312978.7539799598
404,1281942.7580149348
405,1278201.5637202198
406,1276737.9118711778
407,1275270.535157792
408,1288206.444886479
409,1289789.4953249516
410,1272767.3236456406
411,1264272.074766896
412,1257186.743535058
413,1238344.1337793684
414,1240281.2123507971
415,1232452.8328072713
416,1254231.66813709
417,1236786.7797623952
418,1237241.4449070524
419,1272597.5025333867
420,1277826.0216178666
421,1296052.3757158478
422,1282224.5932431717
423,1289359.454755323
424,1291127.9575378872
425,1299042.5382656741
426,1309052.5940069626
427,1307397.4941471193
428,1313053.6428452036
429,1317520.937284576
430,1322565.9975128132
431,1342515.7636044938
432,1343646.5830366653
433,1343876.3062559017
434,1334661.9521669215
435,1359961.6243592836
436,1354001.7574239615
437,1356500.2398498324
438,1352610.306900109
439,1346037.1969746877
440,1353475.4088507327
441,1345963.031475138
442,1375319.9378058568
443,1380511.1389703162
444,1379061.4918364598
445,1390080.7464474924
446,1390122.6982965344
447,1389964.611151877
448,1398550.613366613
449,1399367.5438436605
450,1399918.4849919183
451,1413400.716653227
452,1390366.294487868
453,1406672.0827404072
454,1412576.288398116
455,1408737.035812286
456,1418430.2950163493
457,1416223.2794422202
458,1411564.1646434548
459,1399877.417127703
460,1406366.6124125174
461,1408313.756343339
462,1418354.9913658414
463,1424483.3521592065
464,1455822.2409993764
465,1457622.4009157964
466,1451984.503980474
467,1444903.930384743
468,1448809.9400936286
469,1445858.5068133145
470,1431160.4108617909
471,1433588.8014269187
472,1407919.4578284877
473,1409199.9206856305
474,1433113.8492930625
475,1436728.4332373855
476,1432733.765156506
477,1411816.9948401889
478,1433595.9796641571
479,1420746.633504198
480,1415431.6604323194
481,1410442.9539992474
482,1444179.0450550532
483,1456786.9910919569
484,1459767.400811643
485,1459678.1387478653
486,1456708.270829645
487,1457654.5908206438
488,1457063.6215524813
489,1463194.0974864534
490,1467069.027701189
491,1472901.3772717176
492,1468436.0582618166
493,1469556.5392133405
494,1466676.2949096244
495,1470253.3111189594
496,1477923.6241297605
497,1482449.3139285261
498,1482747.0233588978
499,1481474.5202124403
500,1482314.7312861192
501,1482447.3866365114
502,1480600.4170659825
503,1479594.5261324607
504,1494927.4584559787
505,1493621.434588035
506,1495986.7020139063
507,1495346.7633293236
508,1489551.2230965858
509,1490132.9346222384
