day,account_value
0,1000000.0
1,999742.498
2,995009.1139999998
3,986382.027
4,981223.77
5,984510.769
6,989591.084
7,968498.53
8,981944.64931
9,961806.10526
10,962409.54249
11,942745.53064
12,949270.82104
13,956299.3644400002
14,939832.04105
15,955252.13199
16,946578.8331000005
17,956701.6581
18,976238.3631
19,975262.1401200001
20,975262.1401200001
21,975262.1401200001
22,975262.1401200001
23,975262.1401200001
24,975262.1401200001
25,975262.1401200001
26,975262.1401200001
27,972860.49512
28,979091.1241199998
29,978834.02612
30,980726.18012
31,979920.3121200001
32,980196.78112
33,987289.11412
34,978835.64112
35,982249.83212
36,995256.4321200001
37,990462.37022
38,980848.14887
39,1001322.95415
40,1005779.5342700001
41,1008953.55517
42,1010653.18114
43,1015422.72534
44,1008958.0582399999
45,1010514.9674
46,1010215.4874
47,1022133.4574
48,1022243.8174
49,1023005.2774
50,1027613.2274
51,1040434.0774
52,1049143.5974
53,1049076.3374000005
54,1044686.0374
55,1036755.5074
56,1037536.6674
57,1039082.7974000002
58,1044586.7274
59,1047803.1774
60,1048905.7074
61,1054407.5274
62,1048803.9574
63,1048803.9574
64,1044368.36486
65,1031827.99851
66,1035741.3307298742
67,1035039.0310842877
68,1045120.8696378164
69,1054900.361965759
70,1058208.2709748785
71,1057576.540358113
72,1065392.2824878164
73,1059097.3528586973
74,1063387.0809266446
75,1063443.013695177
76,1067332.8616154704
77,1065814.511523704
78,1064950.964036064
79,1072495.4805660623
80,1058484.4160104748
81,1059581.0393951794
82,1067199.0307201764
83,1056050.5252757638
84,1052447.966643409
85,1053067.2938228222
86,1058249.1682931134
87,1057956.2248657604
88,1072272.9382504649
89,1060350.415147819
90,1062377.4242589946
91,1051571.4698313517
92,1063674.236925468
93,1050833.2307628244
94,1050767.396856651
95,1047656.0133866495
96,1050745.8051216502
97,1048919.5668140023
98,1059068.2707201762
99,1067038.4655151744
100,1065942.4464039986
101,1068221.35837841
102,1062540.0147116466
103,1062847.4517631144
104,1063975.8966007608
105,1059604.504823112
106,1061812.7976436992
107,1067905.9434128185
108,1070323.9765154645
109,1067977.8347378154
110,1064029.0950198742
111,1061214.129096641
112,1055308.9164301676
113,1054026.8393360514
114,1061362.876994285
115,1059419.6210284038
116,1065217.1101822278
117,1068148.456994285
118,1065388.6318319316
119,1076813.5411825178
120,1040688.622848701
121,1024725.749831352
122,1045473.0813957592
123,1061259.4083619304
124,1075667.5088407511
125,1078838.226541633
126,1078838.226541633
127,1078246.2859854558
128,1075264.3871983977
129,1090999.7843895708
130,1095623.099144865
131,1100634.223724865
132,1098998.7207878057
133,1104502.7079331002
134,1105550.9443760405
135,1108690.222587217
136,1109490.359943687
137,1108906.60631869
138,1104021.5229445726
139,1105272.772392806
140,1100718.1035116296
141,1104920.7864119252
142,1099735.81829634
143,1101673.776383692
144,1100673.2401272184
145,1096959.0625201568
146,1090954.4332575086
147,1093945.0504766288
148,1090386.0736254524
149,1101434.7595769234
150,1099705.546852218
151,1101297.330521335
152,1098469.5336466278
153,1105861.0435254495
154,1103494.0124133895
155,1108719.061238684
156,1102992.730175156
157,1104357.7004145666
158,1102569.544927506
159,1101935.6403719182
160,1098797.1727136846
161,1100478.8312180943
162,1096887.8803719182
163,1097120.0525857394
164,1093126.312910447
165,1099765.4396798557
166,1097500.609201035
167,1096145.8603719182
168,1095822.3331072088
169,1100438.5254063266
170,1096959.6962098544
171,1092259.0897225041
172,1090296.711457505
173,1065996.4936451572
174,1078768.7525430913
175,1059860.5112607426
176,1058320.917551331
177,1065815.157423386
178,1055471.253996033
179,1056725.9636713262
180,1059615.955645737
181,1067236.3083122107
182,1075187.8761672063
183,1068150.2146027992
184,1052393.6654489748
185,1060708.590243973
186,1064682.2372527926
187,1053189.0756883854
188,1062929.526646027
189,1062929.526646027
190,1059511.748212183
191,1064878.2713889128
192,1068977.725777823
193,1063104.5859762884
194,1062432.2917985043
195,1052114.628108204
196,1052970.0729740637
197,1051900.675596512
198,1053745.8869019034
199,1049463.4767303104
200,1057470.8668160979
201,1060287.7404728937
202,1057732.6781426952
203,1060247.3846422906
204,1068569.763327088
205,1062854.4224704904
206,1068479.2701934965
207,1063692.8772994822
208,1058743.4457246938
209,1055357.9251644958
210,1050858.7212898964
211,1046185.5928422995
212,1044165.8118835057
213,1041383.565906908
214,1062710.0898132985
215,1064383.9958529028
216,1078087.1637736943
217,1082183.28972329
218,1079823.9098132986
219,1078911.6518475024
220,1077832.7479551258
221,1077832.7479551258
222,1077735.7617601063
223,1077022.722358366
224,1078989.0480682368
225,1082215.643052035
226,1083667.3184180716
227,1085982.7345977896
228,1082112.7513751674
229,1085186.3294674838
230,1086493.751649008
231,1085407.2590948704
232,1085407.2590948704
233,1085407.2590948704
234,1085248.1802133822
235,1089743.1573306941
236,1090015.824328294
237,1089591.2681590773
238,1090199.7932292842
239,1091216.5432802895
240,1087283.676431205
241,1088961.1995095124
242,1089973.1937597373
243,1091126.014613923
244,1094013.5570507664
245,1092238.3370433107
246,1090635.0163553902
247,1090462.5075677095
248,1090853.4240974693
249,1083454.580234988
250,1081928.5905734668
251,1078055.8033486665
252,1078055.8033486665
253,1088633.9334392757
254,1087246.5958926207
255,1088981.9891530469
256,1087267.315433875
257,1086290.6328989214
258,1092317.7735721888
