,0
0,7082.260005716467
1,-11602.681148180272
2,5090.881749330554
3,-321.477073560236
4,12412.791089411126
5,10740.306922271382
6,1753.2109534605406
7,-3614.9234868460335
8,4004.3975454755127
9,9323.711473440519
10,651.1803083175328
11,-11188.510318914196
12,5786.094839493278
13,-4115.656967995688
14,4682.713230515132
15,2567.4903701203875
16,-11190.698027483188
17,-4747.129724843893
18,6815.628042195458
19,-13198.594724216266
20,-9286.960376793751
21,-1823.60066246544
22,5163.434303769842
23,-8216.556175972335
24,14142.350152924657
25,-8184.652925315779
26,169.2577421341557
27,-10984.089628005167
28,6833.565723098349
29,-9852.297657582676
30,2947.6425857327413
31,-10407.107724635163
32,9317.061285685748
33,-1198.1079116738401
34,13769.467945230892
35,9692.36340853409
36,-3550.082142591011
37,4908.570545415627
38,-1718.05871515139
39,-11.835945835104212
40,4783.745240668068
41,-1653.986676777713
42,6206.029404275818
43,5124.420910365414
44,2095.416062647477
45,-3183.723323670216
46,-6804.569892122177
47,-10708.540820547845
48,-11889.393913401524
49,-1873.1634127069265
50,6229.604024737375
51,1324.7433072479907
52,5494.949284185888
53,4192.299737982918
54,-4494.534647802124
55,17792.33375720121
56,-42227.03832760523
57,-20620.922834116383
58,10364.788909767289
59,20385.80823998351
60,15926.921744184103
61,-314.0646368167363
