,0
0,1272204.6748007797
1,1270073.5844677468
2,1269814.3755472545
3,1269814.3755472545
4,1269814.3755472545
5,1269814.3755472545
6,1269814.3755472545
7,1272246.3381797173
8,1270331.5631854178
9,1287409.785228922
10,1284856.0316126603
11,1283859.6524635453
12,1283859.6524635453
13,1283859.6524635453
14,1283859.6524635453
15,1283859.6524635453
16,1283859.6524635453
17,1283859.6524635453
18,1283859.6524635453
19,1283859.6524635453
20,1283859.6524635453
21,1283859.6524635453
22,1283859.6524635453
23,1283859.6524635453
24,1283859.6524635453
25,1283859.6524635453
26,1283859.6524635453
27,1283859.6524635453
28,1283859.6524635453
29,1283859.6524635453
30,1283859.6524635453
31,1283859.6524635453
32,1283859.6524635453
33,1283859.6524635453
34,1283859.6524635453
35,1283859.6524635453
36,1283859.6524635453
37,1283859.6524635453
38,1283859.6524635453
39,1283859.6524635453
40,1283859.6524635453
41,1283859.6524635453
42,1283859.6524635453
43,1283859.6524635453
44,1283859.6524635453
45,1283859.6524635453
46,1283859.6524635453
47,1283859.6524635453
48,1283859.6524635453
49,1283859.6524635453
50,1283859.6524635453
51,1283859.6524635453
52,1283859.6524635453
53,1283859.6524635453
54,1283859.6524635453
55,1283859.6524635453
56,1283859.6524635453
57,1294537.4262001193
58,1294321.2226330629
59,1294321.2226330629
60,1294321.2226330629
61,1294321.2226330629
62,1294321.2226330629
