,0
0,1000000.0
1,999720.5962844375
2,999458.6341592348
3,997797.3092447576
4,998224.2723370945
5,996805.4895927781
6,994779.1447374602
7,994800.934240141
8,990862.4067138461
9,991099.3775497829
10,991920.3200919558
11,983424.4704567705
12,992373.2786746302
13,991034.2736689292
14,991236.9261525159
15,991146.461784895
16,993426.9066119213
17,998848.6150830844
18,992631.67297626
19,988946.882234483
20,990048.4677292011
21,992176.0360859723
22,991747.0724035618
23,995798.1048956944
24,1000569.6406525559
25,1001192.6992824427
26,990313.3143727493
27,992336.3052306203
28,993072.5294107774
29,991474.0393668894
30,982469.9077138611
31,982063.8981448002
32,981042.572040935
33,978809.1013876213
34,970956.4073098251
35,981156.0835933412
36,975269.2395877677
37,971956.9173936227
38,969784.1020533817
39,960102.9228214336
40,957685.0564445658
41,962963.3260092828
42,954518.1950927649
43,954872.2492152717
44,949682.1741829426
45,965471.3439336699
46,964882.3065820187
47,975667.7054123969
48,978254.4387904915
49,974918.009121225
50,984954.45537111
51,990514.6586822796
52,983802.5105949077
53,977660.1760398893
54,1000756.5915224566
55,994382.5984261504
56,998433.31796325
57,1005437.7698459588
58,999503.33642415
59,989213.7019985657
60,991603.2754735255
61,997365.2955775554
62,1006908.2669387098
63,1006751.5572434976
64,1007353.0399914726
65,1000215.4048161439
66,1000633.6244293015
67,1010390.396344193
68,1008424.4632020879
69,1002750.0222806539
70,1007755.9261036406
71,1010876.913438005
72,1010593.0514659117
73,999612.5666160682
74,1005341.9620222637
75,1000752.9888644177
76,1004826.2811068797
77,1010469.941008148
78,1008411.9688479113
79,1009705.1696085483
80,1017641.0537694341
81,1021468.9284880438
82,1023544.8649081308
83,1032430.3801615533
84,1033694.6460423091
85,1033873.9658150878
86,1033070.1771806172
87,1042726.1251133983
88,1035295.051493369
89,1037950.8094643714
90,1027293.8877963098
91,1030863.8862130698
92,1027707.0354485705
93,1039969.4903495538
94,1038023.9380125096
95,1034696.1426833015
96,1026567.1369945272
97,1025561.5383060557
98,1035469.0237613803
99,1027990.2324846179
100,1030883.4627174514
101,1036380.939880113
102,1046790.7718704507
103,1052238.8614073764
104,1047729.9730310673
105,1050652.6622581352
106,1054100.6163893566
107,1051255.1920325118
108,1048990.905869688
109,1046025.8920283371
110,1040215.2590774151
111,1042679.2411352661
112,1024755.7180941657
113,1017478.6547286893
114,1019673.4763266798
115,1027242.7940371233
116,1024563.7293640128
117,1001180.8196545413
118,991530.1902854195
119,986077.200133603
120,1005263.1924845219
121,1003978.4974299368
122,1014056.0410313809
123,1006838.4733109826
124,1013514.3422959076
125,986335.2159068806
126,991617.2086796548
127,971444.7555070498
128,975083.368260825
129,974024.5886804115
130,972897.2398354692
131,992253.2605206562
132,998059.5360940692
133,1027991.673768836
134,1037815.0666640949
135,1035568.8234670939
136,1051579.6377209616
137,1058509.4577431404
138,1050085.4358074428
139,1073298.5485791967
140,1075785.961589037
141,1077265.8017066007
142,1080364.4978179517
143,1076808.9112068547
144,1085250.1775602326
145,1088308.4029442181
146,1102357.684693827
147,1101870.7189775356
148,1095493.6833478424
149,1104081.5409867696
150,1112448.93631293
151,1101729.7132948611
152,1092096.0185803317
153,1111176.8206563173
154,1110872.8876513932
155,1096894.6267127194
156,1074097.2432916914
157,1079423.8549504995
158,1084890.9899537032
159,1100875.8813173932
160,1122929.7800499392
161,1133691.324734891
162,1138794.6804014524
163,1140918.9586403107
164,1158169.3019141776
165,1149756.4936853792
166,1134642.0310769964
167,1117874.6151926378
168,1117188.8713374457
169,1123043.62748488
170,1137413.1610397126
171,1149562.8172286346
172,1160536.6499482857
173,1169969.1665571497
174,1171683.574706663
175,1168997.9461565448
176,1171332.659578565
177,1185781.404642748
178,1188541.0829431508
179,1192025.4321925137
180,1186858.7905394887
181,1191172.2460092374
182,1176390.6547460395
183,1170346.0223646597
184,1162758.4716447035
185,1182812.95649262
186,1184436.5965423475
187,1179672.7955536756
188,1152348.2105476041
189,1143029.3513627497
190,1160422.6616151014
191,1173975.8003098348
192,1174182.5102183395
