day,account_value
0,1000000.0
1,999626.944
2,996332.1899999998
3,992492.0479999998
4,990556.163
5,990453.745
6,993812.334
7,986065.3520000001
8,998382.4670000001
9,985390.0340000001
10,981763.037
11,972049.396
12,977539.632
13,987964.405
14,969977.371
15,994432.79213
16,981720.80213
17,989145.65213
18,1008617.86213
19,1007609.26742
20,1007609.26742
21,1007609.26742
22,1007609.26742
23,1007609.26742
24,1007609.26742
25,1007609.26742
26,1007609.26742
27,1006871.8324199999
28,1009317.0674199995
29,1009181.0254199998
30,1010173.56042
31,1009496.0344199998
32,1009618.8124199995
33,1013869.5264199995
34,1008504.16042
35,1011758.8534199995
36,1017946.9924199998
37,1015788.2374199998
38,1010389.7434199998
39,1022489.8414200001
40,1025762.72242
41,1028799.29942
42,1032666.61742
43,1039594.63242
44,1035114.42906
45,1040980.4646642036
46,1039582.9852251168
47,1048057.3193355292
48,1048667.2290550726
49,1051614.0254091376
50,1060205.600264484
51,1070008.4584853093
52,1076080.7194231143
53,1072599.5038139836
54,1070269.140264484
55,1064949.1186781805
56,1067226.7504485052
57,1069160.8749358098
58,1074853.2467061344
59,1081245.5669865909
60,1081391.425864765
61,1084173.017827961
62,1083036.7063292426
63,1083036.7063292426
64,1079087.7155900248
65,1067485.0344418446
66,1072575.916191175
67,1072254.4391176149
68,1084667.230207026
69,1095407.5371292974
70,1097160.748082758
71,1093545.8245959121
72,1097550.2221413874
73,1106873.933614828
74,1107525.1139231457
75,1096336.6036042313
76,1102122.6984437243
77,1098007.0414757289
78,1102689.754706244
79,1105257.2450763644
80,1094066.5470488812
81,1089319.4173240373
82,1096135.0453662327
83,1082936.4506420165
84,1073649.4902652227
85,1071825.8896027573
86,1076989.3239065271
87,1068772.7677305548
88,1082915.1178834795
89,1074730.4649581637
90,1074899.7227002978
91,1063915.633072293
92,1070749.198795391
93,1060896.9011378083
94,1063844.5437235408
95,1053437.435998906
96,1062754.4972845917
97,1061556.3893729178
98,1075325.8573181487
99,1085018.2207266828
100,1081468.1385840918
101,1086376.7091295074
102,1084658.650414356
103,1084646.814468521
104,1089430.559709189
105,1087776.5730324113
106,1093982.602436687
107,1099107.0233470523
108,1101202.4394097
109,1098018.7160860298
110,1091214.1461939076
111,1080505.6053733598
112,1068616.2114599582
113,1066743.0480472513
114,1072972.6520719887
115,1074297.395379237
116,1079792.3446634226
117,1083984.6444014057
118,1079490.109753603
119,1097282.4435108046
120,1055055.4051831993
121,1034434.482349083
122,1044799.2712588501
123,1065185.0794988335
124,1081112.0012430178
125,1080797.9366062009
126,1080797.9366062009
127,1070892.4759148634
128,1067970.0473888682
129,1087356.5419345915
130,1093474.5503587485
131,1104815.3764190085
132,1106556.983393704
133,1115595.8622452721
134,1116002.9665487865
135,1114614.280177862
136,1111517.3572818902
137,1111321.0187970276
138,1105843.6200045305
139,1110663.4970827594
140,1105594.25723492
141,1106518.1579769452
142,1105527.726182031
143,1103439.3478505856
144,1102675.037033793
145,1095001.5302643757
146,1088276.261264034
147,1093097.9746096523
148,1091275.9674094613
149,1110356.393727298
150,1109442.702880528
151,1109511.242700707
152,1106834.6692547791
153,1114370.1975083826
154,1113042.5041597104
155,1118459.7354679157
156,1112292.7386278477
157,1115240.239615596
158,1117159.4976641207
159,1112938.9042117358
160,1111395.0408224259
161,1111955.4888282549
162,1109360.7662585985
163,1109439.8144149552
164,1106156.102637764
165,1113171.5997298963
166,1113425.461155449
167,1112962.8284747847
168,1111062.7715253222
169,1116177.0829498826
170,1120557.163734337
171,1119320.2929006729
172,1121776.9469337235
173,1097273.1576886522
174,1111690.869698082
175,1089909.7087640918
176,1085273.696544548
177,1095563.5134009323
178,1087998.246355187
179,1085108.1906008685
180,1088044.1594360124
181,1097220.0312115252
182,1104508.730294319
183,1097911.3640554582
184,1082042.607285973
185,1089520.4771516952
186,1095286.6704088366
187,1081626.4077281724
188,1091977.0042990649
189,1091977.0042990649
190,1084896.9351883363
191,1091432.8345942604
192,1092742.595852746
193,1095205.2898600323
194,1103209.7496477056
195,1092044.0623092137
196,1092767.3331482864
197,1087660.7089452478
198,1091402.1880747704
199,1087837.0152553606
200,1093952.0967409012
201,1098252.1168119365
202,1094036.0103280293
203,1089927.270205756
204,1093025.2747935357
205,1092466.3434736442
206,1090919.7739293925
207,1091117.293820097
208,1091720.723451045
209,1092814.5731220855
210,1086109.3805733914
211,1079051.2893246629
212,1073183.361099287
213,1069516.008882087
214,1091218.4907699309
215,1093929.4311767842
216,1118587.3415003463
217,1129208.863873762
218,1131214.783853762
219,1131042.5380670454
220,1129911.521762194
221,1129911.521762194
222,1130141.1625671748
223,1130025.4491654346
224,1132844.8148753054
225,1133352.1738591036
226,1134824.29922514
227,1136619.166404858
228,1135280.7251822357
229,1134095.350344552
230,1141569.6558714048
231,1140543.6138255002
232,1140543.6138255002
233,1140543.6138255002
234,1141031.8149440123
235,1145124.4490613241
236,1147193.986058924
237,1146839.266889707
238,1146156.3869599137
239,1147672.0470109188
240,1146142.853161834
241,1148928.256240142
242,1144698.8594903671
243,1147760.3423445523
244,1153339.232781396
245,1151595.3722239402
246,1149243.5583424522
247,1149840.298460175
248,1152398.5998198749
249,1145138.276174273
250,1141914.6418598718
251,1139141.4213238712
252,1139141.4213238712
253,1154185.649569521
254,1150989.4122513058
255,1157918.9990802838
256,1151787.489632583
257,1149441.1574303696
258,1158495.9699794222
259,1152791.6614839013
260,1152890.9518191773
261,1135813.2891337443
262,1133092.8140259837
263,1123988.6381824028
264,1128751.3072852262
265,1128606.8260597838
266,1136741.8701485102
267,1146495.2666739954
268,1151002.2562482823
269,1145338.0019262282
270,1136726.5770985542
271,1122988.0885817087
272,1126549.464835655
273,1127616.9315420492
274,1153452.0347955923
275,1152355.7243741292
276,1151721.0072219535
277,1145691.5448470372
278,1158507.058845908
279,1164464.1191287294
280,1176253.422796981
281,1186007.2363576572
282,1192456.266385085
283,1189438.6814025757
284,1191373.6955510015
285,1198187.9585662908
286,1197607.2803986806
287,1196469.8259818715
288,1188131.1184141606
289,1193503.5367536612
290,1189375.5377313679
291,1211758.7176044912
292,1203744.354822547
293,1203813.146619117
294,1200651.738007819
295,1197581.7214118259
296,1191002.911645057
297,1192883.6398819035
298,1190087.976904456
299,1189258.0228125066
300,1188883.916708724
301,1191497.5759397957
302,1194479.706274001
303,1185181.6834347984
304,1182952.3557656165
305,1156670.2699094457
306,1147150.7260955113
307,1150898.893546073
308,1144967.1894190279
309,1137782.216761176
310,1152641.4122620458
311,1149632.8845713108
312,1159740.9206152027
313,1151039.6379555576
314,1147735.4688571994
315,1147735.4688571994
316,1142004.301575955
317,1145421.579726633
318,1142296.0901743188
319,1143113.100951305
320,1138792.8806032743
321,1135052.8210215252
322,1122337.7972707471
323,1133374.8069388557
324,1118396.289201725
325,1112473.195246348
326,1123426.3695592852
327,1118406.6604088221
328,1134327.436770263
329,1147964.5348278135
330,1145199.879302689
331,1139494.8756934179
332,1136246.627798973
333,1133271.3281622094
334,1132138.0745482054
335,1131864.5155482052
336,1131964.119548205
337,1131487.6185482051
338,1131617.2395482052
339,1131175.483548205
340,1131175.483548205
341,1131175.483548205
342,1130809.7665482056
343,1130700.3055482057
344,1130700.3055482057
345,1130700.3055482057
346,1130700.3055482057
347,1130700.3055482057
348,1130700.3055482057
349,1130768.0305482056
350,1131378.5785482056
351,1131158.9545482057
352,1130732.3765482057
353,1130042.1145482059
354,1129551.1425482058
355,1132209.2975482056
356,1134683.7605482056
357,1133846.706548206
358,1131537.7735482058
359,1134907.154548206
360,1134283.100548206
361,1136582.1035482062
362,1133380.972708206
363,1139474.743486487
364,1143630.4325614257
365,1140924.4942420528
366,1142199.2613096011
367,1153932.6333460342
368,1151719.556267393
369,1153615.5080218094
370,1155409.9613591712
371,1156619.2767777091
372,1155948.4473911952
373,1152764.7924349192
374,1160554.210741635
375,1153475.6868177198
376,1159656.245459461
377,1166465.765545328
378,1166465.765545328
379,1160192.7312351728
380,1164871.687118635
381,1165311.998568895
382,1164109.9321648737
383,1169519.9845606252
384,1170981.5842739127
385,1174294.8022813287
386,1172280.6186854115
387,1171604.2145702995
388,1168327.503283585
389,1158588.2199607678
390,1153947.1942889742
391,1147250.9727492805
392,1154910.360738148
393,1154246.4003741052
394,1153092.1796045387
395,1153092.1796045387
396,1153092.1796045387
397,1153092.1796045387
398,1152887.9606045387
399,1153104.8506045386
400,1153771.5846045385
401,1151128.0646045387
402,1150893.181604539
403,1148884.3266045388
404,1143665.7906045387
405,1144075.9866045387
406,1145395.1196045387
407,1140961.0956045392
408,1145223.5056045388
409,1130473.5196045388
410,1124789.7104745386
411,1126326.5493945389
412,1133521.7615545387
413,1132546.2539465441
414,1131181.442002813
415,1137083.401142684
416,1137669.135195482
417,1139622.2925800157
418,1141842.468312425
419,1142830.6234983064
420,1143827.2125264413
421,1141430.9919701451
422,1140289.573428988
423,1139903.5094289882
424,1139809.7374289879
425,1139809.7374289879
426,1139809.7374289879
427,1139809.7374289879
428,1139809.7374289879
429,1139809.7374289879
430,1139698.401428988
431,1140275.081428988
432,1141190.425428988
433,1140402.4324289882
434,1141296.6124289883
435,1142574.5944289882
436,1142429.3474289882
437,1144661.1074289884
438,1145401.5764289885
439,1147494.9524289884
440,1152645.1094289885
441,1152645.1094289885
442,1156465.5773889883
443,1161597.8353089883
444,1159532.7429389884
445,1161261.3521689884
446,1164709.7528489884
447,1165020.0208889886
448,1165558.5969189885
449,1165339.9508589886
450,1166847.7342289884
451,1164735.6770289885
452,1164296.7877089882
453,1164768.6718489886
454,1174237.7498389885
455,1172843.1425889884
456,1182832.2741889884
457,1170453.6269989884
458,1169283.1819689884
459,1169701.3189689885
460,1169490.8279689886
461,1169490.8279689886
462,1169539.3259689887
463,1169329.5659689887
464,1169329.5659689887
465,1168974.2659689886
466,1169617.1099689887
467,1169609.5269689886
468,1165329.8759689888
469,1162949.2419689887
470,1164830.0880889888
471,1165653.6255289887
472,1156804.4242089891
473,1165799.0161089888
474,1164633.2192789884
475,1165327.5322789885
476,1165116.9412789885
477,1164268.480278988
478,1164592.655278988
479,1165709.5622789878
480,1175557.026278988
481,1178181.9752789878
482,1197721.4315489877
483,1192153.8020989879
484,1193728.875378988
485,1187423.164598988
486,1188614.8115789879
487,1193829.695368988
488,1203004.975338988
489,1203729.245338988
490,1209763.475338988
491,1217787.625338988
492,1211625.645338988
493,1218215.705338988
494,1225636.0253389878
495,1225213.925338988
496,1226584.0253389878
497,1226907.4853389878
498,1225900.035338988
499,1226180.2153389878
500,1228598.2553389878
501,1231639.0653389879
502,1225291.405338988
503,1229238.385338988
504,1229238.385338988
505,1239584.3359434193
506,1254774.2140653937
507,1253519.4616316387
508,1253519.4616316387
509,1253519.4616316387
510,1253519.4616316387
511,1253519.4616316387
512,1253519.4616316387
513,1253519.4616316387
514,1253519.4616316387
515,1253519.4616316387
516,1253519.4616316387
517,1253519.4616316387
518,1253519.4616316387
519,1253519.4616316387
520,1253519.4616316387
521,1253519.4616316387
522,1253519.4616316387
523,1253519.4616316387
524,1253519.4616316387
525,1253519.4616316387
526,1253519.4616316387
527,1253519.4616316387
528,1253519.4616316387
529,1253519.4616316387
530,1253519.4616316387
531,1253519.4616316387
532,1253519.4616316387
533,1253519.4616316387
534,1253519.4616316387
535,1253519.4616316387
536,1253519.4616316387
537,1253519.4616316387
538,1253519.4616316387
539,1253519.4616316387
540,1253519.4616316387
541,1253519.4616316387
542,1253519.4616316387
543,1253519.4616316387
544,1253519.4616316387
545,1253519.4616316387
546,1253519.4616316387
547,1253519.4616316387
548,1253519.4616316387
549,1253519.4616316387
550,1253519.4616316387
551,1253519.4616316387
552,1253519.4616316387
553,1253519.4616316387
554,1253519.4616316387
555,1249791.0125884342
556,1250757.1263904143
557,1251501.7640078762
558,1229954.7777630514
559,1207409.9627558507
560,1236721.2584894244
561,1220573.383497189
562,1221393.4522213563
563,1234270.304024366
564,1206881.4946566215
565,1226310.4495633785
566,1237991.902444213
567,1237991.902444213
568,1222707.140206688
569,1224527.3953426809
570,1244810.937203752
571,1235444.0430290329
572,1246651.6827582093
573,1244216.1580659566
574,1254475.0448223422
575,1261343.9422378743
576,1262399.595468447
577,1257306.5058784124
578,1256049.2391289193
579,1256049.2391289193
580,1256049.2391289193
581,1256049.2391289193
582,1256049.2391289193
583,1256049.2391289193
584,1256049.2391289193
585,1256049.2391289193
586,1256049.2391289193
587,1256049.2391289193
588,1256049.2391289193
589,1256049.2391289193
590,1256049.2391289193
591,1256049.2391289193
592,1256049.2391289193
593,1256049.2391289193
594,1256049.2391289193
595,1256049.2391289193
596,1256380.391128919
597,1256219.0511289195
598,1256733.1411289196
599,1261555.5561289196
600,1256207.4791289195
601,1258733.1301289196
602,1257880.1091289194
603,1255959.2261289195
604,1239486.6361289194
605,1253081.9429289198
606,1239588.7869289196
607,1252383.94307892
608,1262078.81148892
609,1261837.9691389198
610,1280107.1328189196
611,1278818.6027389194
612,1280558.2637889194
613,1279870.47692892
614,1282825.5069289196
615,1279018.3969289195
616,1281027.9369289195
617,1277065.6569289195
618,1269243.81692892
619,1254141.0169289198
620,1255826.2669289198
621,1242403.2269289196
622,1246827.9369289195
623,1231311.35692892
624,1232386.1146389195
625,1224806.7246389198
626,1232979.1246389195
627,1244467.2646389198
628,1243222.7977189198
629,1243222.7977189198
630,1243222.7977189198
631,1243758.8695362015
632,1248503.245763024
633,1252421.1891698649
634,1244427.4779172395
635,1251791.8844272904
636,1256691.443191572
637,1256160.6541709718
638,1254778.8338752564
639,1258235.1703290248
640,1255369.0220284248
641,1257261.1142830662
642,1257606.1456882686
643,1267158.5456882687
644,1275208.3556882688
645,1278513.8156882687
646,1275834.0156882687
647,1275628.4156882686
648,1273292.7356882687
649,1282956.0956882688
650,1281673.1576682688
651,1281673.1576682688
652,1281673.1576682688
653,1281673.1576682688
654,1281673.1576682688
655,1281673.1576682688
656,1281673.1576682688
