day,account_value
0,1000000.0
1,1000121.5346435744
2,996556.8811793856
3,989474.9711412829
4,984768.3334103859
5,986983.8351125396
6,992333.8618259686
7,977530.0454974136
8,989445.2007957641
9,963628.514177798
10,965731.1654241686
11,951684.8758894851
12,959497.3727895857
13,966330.8135070541
14,956945.6296868636
15,975637.316861928
16,959814.1757773331
17,963123.1154498413
18,986547.2293871049
19,985560.691900862
20,985560.691900862
21,985560.691900862
22,985560.691900862
23,985560.691900862
24,985560.691900862
25,985560.691900862
26,985560.691900862
27,983981.964089145
28,986996.61997373
29,986782.9286862784
30,988179.6800792569
31,987871.9395846298
32,986556.3073102495
33,992739.0409636002
34,987348.267353545
35,988618.483907704
36,999106.4414886972
37,994186.9692626413
38,988248.6356688631
39,1004253.2148536844
40,1006815.2598683331
41,1007220.6506598064
42,1010379.3968534252
43,1013833.6310254072
44,1010097.0027120372
45,1013110.515608308
46,1011166.85359102
47,1021348.9652871869
48,1023807.6073620769
49,1023791.8375944684
50,1027414.8893564771
51,1037699.0286914223
52,1045020.1065590068
53,1046130.902437684
54,1043528.8905917521
55,1040664.9915305494
56,1040219.1650759288
57,1040423.7251777813
58,1045135.5056424878
59,1049403.07636461
60,1046479.8401742716
61,1051478.1799659894
62,1050293.4775454113
63,1050293.4775454113
64,1053907.4766959914
65,1047534.2933775006
66,1050114.7824807041
67,1048892.8648400018
68,1057366.5096003364
69,1068098.5437629123
70,1068851.959362187
71,1068010.6541112352
72,1076923.1199129564
73,1079440.0818039996
74,1075892.979439632
75,1068615.5724182362
76,1067793.5308374164
77,1066619.4032472572
78,1068945.3254525128
79,1073774.0871427115
80,1064154.087002486
81,1057940.415772102
82,1064331.132161906
83,1054317.1384496116
84,1049192.4127235387
85,1047749.6577273702
86,1053799.8792499695
87,1052643.2883333424
88,1065593.3243969348
89,1051072.8061692885
90,1052795.917473654
91,1039416.3051097044
92,1052235.1526632805
93,1041929.3647307041
94,1039569.03183933
95,1039781.2216878205
96,1047603.9628882556
97,1049214.9102405529
98,1063175.8239930072
99,1068426.0635903787
100,1064576.4084318192
101,1067891.0819850324
102,1059319.630765173
103,1061296.6269276035
104,1068064.477195275
105,1071233.7611688054
106,1081350.691112931
107,1080994.0779861321
108,1085835.55506406
109,1083285.3927537794
110,1076007.1971318284
111,1064383.079197627
112,1060729.9761051338
113,1056616.0425044454
114,1061863.5543650822
115,1060444.4919955132
