day,account_value
0,1000000.0
1,1000121.5346435744
2,996556.8811793856
3,989474.9711412829
4,984768.3334103859
5,986983.8351125396
6,992333.8618259686
7,977530.0454974136
8,989445.2007957641
9,963628.514177798
10,965731.1654241686
11,951684.8758894851
12,959497.3727895857
13,966330.8135070541
14,956945.6296868636
15,975637.316861928
16,959814.1757773331
17,963123.1154498413
18,986547.2293871049
19,985560.691900862
20,985560.691900862
21,985560.691900862
22,985560.691900862
23,985560.691900862
24,985560.691900862
25,985560.691900862
26,985560.691900862
27,983981.964089145
28,986996.61997373
29,986782.9286862784
30,988179.6800792569
31,987871.9395846298
32,986556.3073102495
33,992739.0409636002
34,987348.267353545
35,988618.483907704
36,999106.4414886972
37,994186.9692626413
38,988248.6356688631
39,1004253.2148536844
40,1006815.2598683331
41,1007220.6506598064
42,1010379.3968534252
43,1013833.6310254072
44,1010097.0027120372
45,1013110.515608308
46,1011166.85359102
47,1021348.9652871869
48,1023807.6073620769
49,1023791.8375944684
50,1027414.8893564771
51,1037699.0286914223
52,1045020.1065590068
53,1046130.902437684
54,1043528.8905917521
55,1040664.9915305494
56,1040219.1650759288
57,1040423.7251777813
58,1045135.5056424878
59,1049403.07636461
60,1046479.8401742716
61,1051478.1799659894
62,1050293.4775454113
63,1050293.4775454113
64,1053884.4639031095
65,1047511.2766685308
66,1050002.1524621611
67,1048893.0829899905
68,1057165.6800191796
69,1068288.5947433272
70,1068854.2729853978
71,1068093.926556823
72,1076693.17087742
73,1080548.12388413
74,1076686.426939087
75,1067779.1765718944
76,1067772.6274796557
77,1066417.3326437636
78,1066404.2515158998
79,1071319.9173957957
80,1062072.9984315392
81,1057324.7378750998
82,1063959.4352037774
83,1054686.180317741
84,1049428.8640914718
85,1048652.0168980677
86,1054137.4265466994
87,1053136.3198280556
88,1066221.171952297
89,1053235.2450585912
90,1054737.0909954207
91,1042790.6630499287
92,1055054.341612874
93,1043156.7746970321
94,1042453.065936072
95,1040796.7177273495
96,1047328.885294991
97,1047082.5146244304
98,1061537.3127594865
99,1066385.0341796416
100,1064916.384770334
101,1068182.14646988
102,1061024.243038358
103,1062308.103627815
104,1067048.3941707546
105,1069129.7485558207
106,1077159.1026456195
107,1078716.177901514
108,1083675.1192217693
109,1082315.586702321
110,1075993.0126922405
111,1066293.492010741
112,1064221.7670291495
113,1059709.1598459543
114,1066152.9935626423
115,1061920.6404587824
