day,account_value
0,1000000.0
1,1000121.5346435744
2,996556.8811793856
3,989474.9711412829
4,984768.3334103859
5,986983.8351125396
6,992333.8618259686
7,977530.0454974136
8,989445.2007957641
9,963628.514177798
10,965731.1654241686
11,951684.8758894851
12,959497.3727895857
13,966330.8135070541
14,956945.6296868636
15,975637.316861928
16,959814.1757773331
17,963123.1154498413
18,986547.2293871049
19,985560.691900862
20,985560.691900862
21,985560.691900862
22,985560.691900862
23,985560.691900862
24,985560.691900862
25,985560.691900862
26,985560.691900862
27,983981.964089145
28,986996.61997373
29,986782.9286862784
30,988179.6800792569
31,987871.9395846298
32,986556.3073102495
33,992739.0409636002
34,987348.267353545
35,988618.483907704
36,999106.4414886972
37,994186.9692626413
38,988248.6356688631
39,1004253.2148536844
40,1006815.2598683331
41,1007220.6506598064
42,1010379.3968534252
43,1013833.6310254072
44,1010097.0027120372
45,1013110.515608308
46,1011166.85359102
47,1021348.9652871869
48,1023807.6073620769
49,1023791.8375944684
50,1027414.8893564771
51,1037699.0286914223
52,1045020.1065590068
53,1046130.902437684
54,1043528.8905917521
55,1040664.9915305494
56,1040219.1650759288
57,1040423.7251777813
58,1045135.5056424878
59,1049403.07636461
60,1046479.8401742716
61,1051478.1799659894
62,1050293.4775454113
63,1050293.4775454113
64,1053767.64527941
65,1047486.2457852359
66,1049991.7981030906
67,1047636.3591107021
68,1055960.0050143518
69,1065204.2742199493
70,1064805.4621245365
71,1066286.200319542
72,1074319.235835209
73,1070275.7463450986
74,1066176.2545012506
75,1065149.247681403
76,1063265.917681861
77,1062043.111120945
78,1063235.1483285038
79,1072743.0075377407
80,1059247.2954563675
81,1056129.4325333156
82,1061823.622534689
83,1054696.022548422
84,1050578.9825438443
85,1053016.002546438
86,1059536.5725465908
87,1059078.3625502528
88,1071271.0425499477
89,1057151.772540182
90,1060365.2425406398
91,1046813.65254064
92,1058505.332543539
93,1046184.4825381987
94,1039361.1025403348
95,1037157.4525435392
96,1040081.802549032
97,1038461.4325479644
98,1048703.382554525
99,1056481.03255834
100,1057347.442559561
101,1059047.4425623077
102,1051301.5625636806
103,1051903.4825644435
104,1058906.0725662748
105,1060086.462563528
106,1069456.1925671904
107,1069951.822565817
108,1075934.522572073
109,1076686.6125729887
110,1071043.2325726834
111,1062382.752564291
112,1062734.4725681057
113,1060611.0125650542
114,1061396.8025644436
115,1059107.6325563565
116,1068610.182560629
