,0
0,-32806.597874336876
1,-1166.5576574588194
2,25977.819984245347
3,-10712.502724972786
4,17713.35785947973
5,-10726.962827882497
6,9594.189995218534
7,14346.294271834427
8,9902.149882343132
9,-8709.01995773334
10,-1351.4456972978078
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,282.07729498436674
29,-185.3256445133593
30,663.8377381323371
31,5135.590902591357
32,-5546.564787012758
33,3293.2506373350043
34,-2192.6543285425287
35,1162.825807773741
36,-16902.842936081346
37,16562.47826131177
38,-12456.826085662935
39,11351.150755157927
40,12476.48544212291
41,-1507.413909988245
42,22219.79653701815
43,3144.750327148009
44,7214.93639259343
45,1193.5938850406092
46,1289.452432708349
47,-7717.146712951595
48,3128.1950914761983
49,-2701.7184638972394
50,-6416.284608688438
51,-17851.945283127017
52,1511.8766951754224
53,-10840.573272323702
54,7132.596357650822
55,-22525.567065506242
56,2489.4766122438014
57,-10927.399330444168
58,5725.572462081676
59,8338.939904251136
60,-1346.6634064705577
61,0.0
