,0
0,1097214.8499160828
1,1089309.7223907167
2,1097073.0065401543
3,1095840.1063311528
4,1094589.4953528545
5,1100203.8047441428
6,1089315.9705154693
7,1086619.2863370017
8,1083501.873104218
9,1084165.0718246347
10,1081045.4362396984
11,1080248.4301087058
12,1074567.296298334
13,1072825.142859667
14,1067058.054270676
15,1069858.2645702702
16,1076341.6712548304
17,1079862.066730362
18,1077538.0230848345
19,1071983.853690934
20,1065382.2367499846
21,1061886.0450411132
22,1059525.4926257783
23,1059555.3432872645
24,1053290.3620226819
25,1073298.5680112902
26,1076843.1516548
27,1085293.5405138708
28,1083449.8466506077
29,1085007.4214058567
30,1076843.5382790386
31,1075766.723677874
32,1075766.723677874
33,1076152.9792939988
34,1074747.994618548
35,1075416.996537292
36,1077147.285813903
37,1080935.8912752038
38,1084757.7995310246
39,1080282.4041888735
40,1080011.9881918642
41,1079916.7602937624
42,1078836.8725847728
43,1078836.8725847728
44,1078836.8725847728
45,1079110.4788181472
46,1084340.1703119774
47,1085185.3535330158
48,1084682.7706271487
49,1085047.1969404104
50,1086524.6548699294
51,1083425.1349382137
52,1085215.0448270615
53,1082726.353058734
54,1086581.1929155828
55,1092567.4253388743
56,1089241.3861814935
57,1086700.8749519591
58,1087521.7031476551
59,1088175.678627325
60,1082052.6635914096
61,1081561.7697480351
62,1079004.1196150358
