,0
0,1000000.0
1,999800.1712675344
2,1000021.5897330078
3,997644.4550117498
4,997637.3869472507
5,996321.4497242466
6,994210.5480757065
7,994153.9002815384
8,991541.2248497421
9,991273.806184424
10,991581.0639184315
11,984251.8685375081
12,988687.1147791467
13,988840.4912896124
14,988674.1547507343
15,988878.1095663714
16,990599.0678132358
17,995148.9475094014
18,990460.0560331226
19,987252.2600458893
20,986133.8203587587
21,989122.4219774089
22,986128.5668832399
23,989308.8766320151
24,993411.9902227977
25,993735.2544112573
26,982415.0254629785
27,984584.8755972317
28,984843.9861024981
29,981475.9956733668
30,970011.9378893276
31,970493.9584522664
32,968952.7104398846
33,966284.5407724618
34,954721.7468859891
35,965239.1013855871
36,959859.1604984647
37,955464.762550382
38,952557.2172129073
39,941554.6013308058
40,940096.7553281876
41,946412.3331254984
42,934819.3917479682
43,934685.0530279367
44,930232.347585122
45,945644.7468460714
46,945920.4394967357
47,957084.4235204798
48,960503.6808041651
49,958389.8656813201
50,967497.0743828823
51,971447.4795051266
52,966346.3340515082
53,962697.4501134916
54,981437.1528837336
55,976322.3883782511
56,979206.2652442076
57,986110.1488527334
58,979467.0335335236
59,971261.2632311091
60,975374.5697465164
61,981360.6045047117
62,990401.9525823845
63,993081.3655849606
64,992438.0229492525
65,986501.3883739414
66,989617.638122099
67,999021.9135325397
68,1000589.4113207862
69,991758.0528106927
70,997251.0282384916
71,1002263.266376106
72,1002389.221644796
73,990575.0401369216
74,995601.3889786312
75,991909.7973455798
76,995982.7075046545
77,1000875.7205464602
78,999677.4889362208
79,1001053.4217373561
80,1008621.2257808354
81,1009170.4476047985
82,1010476.5966630151
83,1021566.7122870774
84,1020911.2868043067
85,1022717.4840744655
86,1018768.4330228956
87,1027827.2998502653
88,1019079.6876686389
89,1022214.2961764834
90,1009590.352193591
91,1014518.0713793394
92,1012068.3916285353
93,1027225.3783669735
94,1024076.5082107927
95,1020443.2167780055
96,1011576.3939794364
97,1009561.2618887379
98,1026036.4133195668
99,1014005.3302542397
100,1020435.2380992835
101,1025795.9605577837
102,1043035.5650455495
103,1047213.2719764395
104,1043584.4627494549
105,1046349.597894664
106,1051032.6230060607
107,1047897.1882491276
108,1045918.1301551994
109,1044763.6718682299
110,1044171.2417824124
111,1045808.8513839695
112,1025772.2246302102
113,1016297.2858611774
114,1019054.0279928946
115,1024966.8696156739
116,1023029.4108752107
117,1000056.2397557368
118,996838.3297702352
119,996474.1261753319
120,1016136.6374706987
121,1014569.5700907278
122,1023337.0973028941
123,1013916.4408823109
124,1019638.321864407
125,995210.8259902603
126,1001287.0497613659
127,984635.0386117448
128,990844.5205670313
129,989311.6903479495
130,987079.6585023693
131,1005160.7030277892
132,1011721.000826556
133,1037325.0717492339
134,1047835.8028939852
135,1053218.6644207672
136,1065579.1085160635
137,1078419.9038614128
138,1073262.6616502344
139,1095348.4083749664
140,1108748.314965473
141,1111310.3957405172
142,1105633.3419043391
143,1103975.3918508457
144,1114173.1020890314
145,1107912.276738644
146,1120114.233084083
147,1126437.20354242
148,1111180.155168524
149,1105444.8926872325
150,1114980.1193635436
151,1115407.0650231638
152,1106134.9662666365
153,1117808.6178424915
154,1119547.873682366
155,1107265.465242088
156,1089243.3980472444
157,1099008.9424825134
158,1104892.1904303897
159,1111152.1290486238
160,1130323.8776902237
161,1130887.5189734895
162,1138731.5232219705
163,1137460.1047292366
164,1142748.0070987097
165,1142444.8916374198
166,1138127.3636333558
167,1118843.4581515524
168,1112737.5429281516
169,1118482.0089690806
170,1129600.8579755237
171,1141481.5781204808
172,1147703.8013985173
173,1158795.6047651987
174,1154908.5355569825
175,1155068.1705849722
176,1164379.1391667367
177,1175157.7308745268
178,1181856.5352822586
179,1190161.5704421028
180,1185203.3661582891
181,1194596.1294394042
182,1184086.1181819404
183,1176973.9896425682
184,1170728.409667669
185,1185757.09754226
186,1187371.5344139964
187,1183545.4005900437
188,1160001.9975633624
189,1153449.4186443384
190,1164684.473201209
191,1176012.443506107
192,1180522.1864191617
193,1194502.645419572
194,1203760.475403845
195,1205340.4091415927
196,1195729.2697288122
197,1205238.2728093183
198,1209748.9654664635
199,1209461.4686582657
200,1230041.447646408
201,1227578.1522891803
202,1209876.462306538
203,1221130.9365929845
204,1204687.199945245
205,1192276.973099973
206,1189342.261731529
207,1173987.32978973
208,1204988.0813002351
209,1176869.517928913
210,1187117.8677177427
211,1183785.0727887056
212,1190467.5556289766
213,1213524.6759636214
214,1216503.2981621826
215,1242138.3608037843
216,1242664.3528478595
217,1245641.2383018262
218,1235912.44861371
219,1241134.605104045
220,1260294.133917022
221,1256832.4560229913
222,1256844.5710702857
223,1249166.4224705498
224,1246669.9078961227
225,1258318.983991852
226,1258563.3053726782
227,1267950.2021782303
228,1252993.120187374
229,1254505.398012741
230,1276862.3413977416
231,1275418.4822017571
232,1267668.985130351
233,1272419.5854275913
234,1268837.9072198598
235,1255643.2538113943
236,1262443.3152062574
237,1269554.4673595366
238,1274827.4874711582
239,1285255.3890328289
240,1279735.970024772
241,1280124.5312611912
242,1268402.1887362879
243,1266163.902059101
244,1270901.6251366779
245,1275357.9728345922
246,1276444.5461425355
247,1279546.4586707489
248,1280859.6121514393
249,1282153.3343926608
250,1279794.441680901
251,1264957.6577970816
252,1283099.3573682357
253,1282948.9322717108
254,1285991.3824224693
255,1289066.7927324346
256,1292290.494447183
257,1301012.395081534
258,1295149.4852967418
259,1306427.8999051803
260,1310051.4331544682
261,1294610.2790179828
262,1310880.551032088
263,1299179.2494033596
264,1270392.557333769
265,1247301.0885064558
266,1252495.8744444735
267,1250413.9915279783
268,1258851.0092712499
269,1253155.7993514608
270,1246008.27761138
271,1257943.4920828608
272,1275450.6980112079
273,1260408.2986398262
274,1230139.4276229008
275,1229645.8747103056
276,1224759.8953038135
277,1245347.9579881919
278,1241306.5902286002
279,1260408.6460230544
280,1257266.141273751
281,1276056.6506729661
282,1282971.9704756762
283,1294154.9311099283
284,1294349.370222319
285,1292943.2099978502
286,1282741.266487899
287,1293395.7914742145
288,1289987.6195992325
289,1285244.3177238682
290,1296857.8999920895
291,1297511.2030424012
292,1297169.8625659223
293,1299495.9869080284
294,1313061.6887415233
295,1310775.0193901618
296,1311042.8086730798
297,1313796.7541292238
298,1317493.8279178098
299,1323080.5067856244
300,1324189.3621574307
301,1323674.1933327296
302,1329955.9399613892
303,1331249.073982105
304,1326258.6679916624
305,1335554.8236288636
306,1352946.703890582
307,1342093.2773633655
308,1344696.5618240994
309,1344840.0033813037
310,1355342.8013976845
311,1354099.436403969
312,1348776.1909434318
313,1359196.328266883
314,1361281.609941664
315,1358526.7257040606
316,1350948.209710488
317,1352235.457528537
318,1360541.7463453056
319,1365627.3365862311
320,1369711.4483303176
321,1379115.8819512918
322,1384087.434926025
323,1369935.6631409442
324,1378034.5807976201
325,1381060.476309271
326,1382922.083413483
327,1384900.2131459054
328,1395627.849924594
329,1402783.124554498
330,1371063.0872573438
331,1375243.3558731016
332,1386983.122983963
333,1364274.7853396598
334,1386390.0982943387
335,1362035.2092651955
336,1357739.9742089775
337,1315329.8280408843
338,1301850.6385812906
339,1358716.621732612
340,1357202.44861622
341,1375096.7672556874
342,1359391.9971118357
343,1333090.0321175263
344,1331732.54538527
345,1309558.7897733948
346,1297433.0239032733
347,1251835.684602107
348,1265760.0607588335
349,1255746.728994234
350,1254385.4563861012
351,1249733.4973508883
352,1266967.6989611266
353,1251465.8050089972
354,1242743.393281414
355,1263419.6314505914
356,1263604.5131743283
357,1219685.3318225404
358,1203243.9663204446
359,1219781.5035378523
360,1214615.6589968083
361,1243495.5520031399
362,1242759.928177136
363,1242699.7782683212
364,1269252.8405429332
365,1267219.5559423107
366,1271351.550396618
367,1273077.445460699
368,1272761.13429916
369,1251601.3179895377
370,1255087.2273704896
371,1242745.6844707178
372,1242365.104861221
373,1242268.4919816095
374,1209599.8908313755
375,1200773.9133512392
376,1198074.8513056375
377,1192810.1744789241
378,1193416.7686052264
379,1227835.3374448675
380,1245683.7548791799
381,1248678.428717771
382,1246832.0748574648
383,1261983.1932750985
384,1264296.691840696
385,1261530.2482745245
386,1229218.689686084
387,1236746.0448364213
388,1244363.7771910264
389,1228057.4850235134
390,1247297.6380523217
391,1260358.7904944115
392,1272552.9845798933
393,1271529.820929316
394,1262672.6734509345
395,1253512.6177919616
396,1257668.3603962662
397,1278326.9744500178
398,1272388.4393103595
399,1275322.495668668
400,1275633.184511991
401,1276097.3395207797
402,1283968.0413044833
403,1276293.740069917
404,1246133.85732443
405,1240302.0948891924
406,1236797.2533897478
407,1238097.9297731456
408,1259276.5006504774
409,1262792.2585182677
410,1247548.2719103012
411,1243930.6831595583
412,1234593.9155620048
413,1215159.1379909082
414,1216203.2754663315
415,1210688.2049298063
416,1224936.409127638
417,1208078.573458253
418,1206187.78597217
419,1235288.0464343324
420,1247596.0598011825
421,1260579.2876382526
422,1251293.1868194118
423,1257702.184125271
424,1260193.2652603653
425,1268025.2175280403
426,1274921.231241118
427,1275471.6658771462
428,1282936.8870414533
429,1282953.8160194617
430,1287716.481286492
431,1305024.8522463797
432,1312684.0114760834
433,1313171.5345813558
434,1306790.2528554138
435,1334695.1700829924
436,1328554.6260471477
437,1340515.0774354956
438,1341953.6874881855
439,1333291.0351990464
440,1332355.4801044771
441,1322562.349032937
442,1348968.0976397656
443,1350273.8430374435
444,1348698.462132944
445,1361585.449218423
446,1362025.5066434254
447,1359759.2993331617
448,1371004.1537229016
449,1369576.8147661437
450,1366305.1673954334
451,1371441.8882022125
452,1355027.7018010435
453,1373805.723378863
454,1376086.5954427328
455,1370504.9128137901
456,1377310.5077082627
457,1370244.6967805694
458,1364549.8630211826
459,1365091.8867910132
460,1367054.2293651341
461,1370342.5258933362
462,1376719.108163685
463,1381073.3864094417
464,1405808.6402980306
465,1405021.5078278182
466,1395632.8907860073
467,1389228.0493548217
468,1384664.5513286623
469,1382100.8676981863
470,1368261.734430416
471,1371798.1548082246
472,1354812.965645515
473,1352359.9554977063
474,1373325.4633618786
475,1376908.3320541105
476,1372734.6284769538
477,1355889.403598766
478,1372434.4314185316
479,1360428.0487137274
480,1354938.8962019577
481,1347323.9420290806
482,1380650.8571833267
483,1397882.7874000887
484,1402471.2660489634
485,1398755.3088777885
486,1401987.6211599186
487,1403697.917063173
488,1403802.0703557278
489,1407340.8023093757
490,1413364.666500995
491,1422859.0023860552
492,1422764.5265619145
493,1421299.2129863824
494,1420970.6241878453
495,1421495.9113477764
496,1426104.618481616
497,1430433.404125928
498,1433675.9639198624
499,1429156.4597851916
500,1429951.9419192453
501,1428994.3616932998
502,1426567.4996725232
503,1426477.0109535556
504,1439226.2088664598
505,1442624.0835298323
506,1447553.1879509625
507,1446028.3140901055
508,1443626.5205550108
509,1439571.201314918
510,1443108.9900132976
511,1450900.266134897
512,1457277.912659925
513,1457811.517112598
514,1469192.57070923
515,1462251.0315639493
516,1462491.3767029026
517,1459996.430608125
518,1471393.219385036
519,1466693.7656180158
520,1463373.1942274603
521,1462869.7985967859
522,1443729.6677679564
523,1444706.0310088627
524,1463888.4880202005
525,1465983.6909854175
526,1468783.5997991597
527,1477134.8374310834
528,1483292.6909722462
529,1490087.704969634
530,1483613.3256881728
531,1489754.6202706054
532,1498036.4351149113
533,1497556.3461729113
534,1492779.3609471759
535,1498187.6138532527
536,1502710.3026632145
537,1516296.072683482
538,1489109.1954208082
539,1471763.9963299371
540,1471242.2041291166
541,1477831.9416245269
542,1494817.091154119
543,1470627.090207593
544,1472261.9163825256
545,1499603.1436067221
546,1489682.5213060325
547,1476493.2715540703
548,1490333.747228426
549,1485171.9850127222
550,1455731.5071320399
551,1464337.8426398332
552,1465240.305857766
553,1447662.722334233
554,1428121.5258036202
555,1448892.6392716412
556,1462176.8115081305
557,1482441.73016
558,1472732.3195746762
559,1476850.931856679
560,1491074.9817571589
561,1492832.592450299
562,1490543.8196543106
563,1502840.4869089671
564,1511410.2520146752
565,1505818.7004818036
566,1518436.973963953
567,1523867.439413067
568,1516280.9994785679
569,1512035.0472264471
570,1511785.020110049
571,1508054.8059037728
