day,account_value
0,1000000.0
1,1000121.5346435744
2,996556.8811793856
3,989474.9711412829
4,984768.3334103859
5,986983.8351125396
6,992333.8618259686
7,977530.0454974136
8,989445.2007957641
9,963628.514177798
10,965731.1654241686
11,951684.8758894851
12,959497.3727895857
13,966330.8135070541
14,956945.6296868636
15,975637.316861928
16,959814.1757773331
17,963123.1154498413
18,986547.2293871049
19,985560.691900862
20,985560.691900862
21,985560.691900862
22,985560.691900862
23,985560.691900862
24,985560.691900862
25,985560.691900862
26,985560.691900862
27,983981.964089145
28,986996.61997373
29,986782.9286862784
30,988179.6800792569
31,987871.9395846298
32,986556.3073102495
33,992739.0409636002
34,987348.267353545
35,988618.483907704
36,999106.4414886972
37,994186.9692626413
38,988248.6356688631
39,1004253.2148536844
40,1006815.2598683331
41,1007220.6506598064
42,1010379.3968534252
43,1013833.6310254072
44,1010097.0027120372
45,1013110.515608308
46,1011166.85359102
47,1021348.9652871869
48,1023807.6073620769
49,1023791.8375944684
50,1027414.8893564771
51,1037699.0286914223
52,1045020.1065590068
53,1046130.902437684
54,1043528.8905917521
55,1040664.9915305494
56,1040219.1650759288
57,1040423.7251777813
58,1045135.5056424878
59,1049403.07636461
60,1046479.8401742716
61,1051478.1799659894
62,1050293.4775454113
63,1050293.4775454113
64,1054089.7331894098
65,1048029.1665698749
66,1050775.605207871
67,1049059.623495553
68,1058953.3307070392
69,1070116.5601606146
70,1071019.8826021173
71,1070510.5802915215
72,1078705.4065405226
73,1075996.3594235843
74,1075224.83153502
75,1074778.2804227471
76,1074255.2555312177
77,1070594.8801497878
78,1076723.3413086957
79,1087985.4386028587
80,1073638.3697449306
81,1071675.9445305446
82,1077484.454595547
83,1067863.6445422177
84,1061533.5844222836
85,1063130.2244299892
86,1069782.944454327
87,1067889.3043888668
88,1082587.6344422726
89,1065195.744458905
90,1070751.0943632321
91,1057441.2444241145
92,1070052.6245212369
93,1060195.4244242671
94,1054474.3044287683
95,1053463.784317532
96,1055203.074451428
97,1053559.724475842
98,1062689.2846766477
99,1069791.894742413
100,1070276.7247768978
101,1072207.1147894864
102,1061619.1648158077
103,1061595.044827633
104,1064346.7048672298
105,1063615.7948383908
106,1075601.1248276331
107,1079999.8948480038
108,1086126.9848424343
109,1085193.8648568538
110,1077167.0548981288
111,1070886.8949252896
112,1068859.5249175841
113,1067235.2447933774
114,1069034.7447898677
115,1066829.4848270228
